% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 7 2022, 22:17
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.49297165301058465      -0.7895383506108173
330000000                0.4124624342763202       -0.8313909499793923
360000000                0.3286838102580598       -0.8652313259181137
390000000                0.24238674164504756      -0.8908168316787658
420000000                0.15434714444560937      -0.9079716854284421
450000000                0.06535827359645711      -0.916590982883148
480000000                -0.023777094643915222    -0.9166433637223961
510000000                -0.11225456203182045     -0.9081724946372249
540000000                -0.19927598882353995     -0.8912974868793655
570000000                -0.28405726790940156     -0.8662123383547226
600000000                -0.3658359124842832      -0.8331844733003759
630000000                -0.44387838212030356     -0.7925524437175806
660000000                -0.5174870779885915      -0.7447228518930675
690000000                -0.5860069410599705      -0.6901665526090682
720000000                -0.6488315931254586      -0.6294141936317879
750000000                -0.7054089639695702      -0.5630511557769186
780000000                -0.755246354618503       -0.4917119556343583
810000000                -0.7979148916994909      -0.4160741771788603
840000000                -0.8330533346390988      -0.33685200069683224
870000000                -0.8603712038387427      -0.2547894001387044
900000000                -0.8796512051103487      -0.17065308146500416
930000000                -0.8907509327453825      -0.08522523618603135
960000000                -0.8936038410608719      7.038152716796379E-4
990000000                -0.8882194816152765      0.08634301578887432
1020000000               -0.8746830106834814      0.17090792528475737
1050000000               -0.8531539788429511      0.2536279636469974
1080000000               -0.8238644216113742      0.3337534722539834
1110000000               -0.7871162767617295      0.41056252693668677
1140000000               -0.7432781604683181      0.48336743797515
1170000000               -0.6927815402691518      0.5515208773965043
1200000000               -0.636116348379967       0.6144215781581553
1230000000               -0.5738260838722717      0.6715195548923982
1260000000               -0.506502456325844       0.7223208016872019
1290000000               -0.4347796276181923      0.7663914278289672
1320000000               -0.35932811121277414     0.8033611989899708
1350000000               -0.28084839088856306     0.8329264574520551
1380000000               -0.20006432250033257     0.8548524015060018
1410000000               -0.11771638330853876     0.8689747107194397
1440000000               -0.03455483385610414     0.8752005102466467
1470000000               0.04866714298261208      0.8735086738079048
1500000000               0.13120026211404098      0.8639494712461613
1530000000               0.2123058532575655       0.8466435726493219
1560000000               0.29126241492966204      0.8217804268453313
1590000000               0.36737194777440313      0.7896160376173664
1620000000               0.4399660130276356       0.7504701661342752
1650000000               0.5084114651943514       0.7047229929478105
1680000000               0.5721158121547472       0.6528112772605663
1710000000               0.6305321601647584       0.5952240551934058
1740000000               0.6831637059370324       0.5324979222837055
