% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 7 2022, 22:27
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.514394183350479        -0.8042383529975533
330000000                0.4324197337728542       -0.8491292097443784
360000000                0.34673236049326167      -0.8857699155181307
390000000                0.25813681123325266      -0.9138677981079353
420000000                0.1674632655706484       -0.933206169128877
450000000                0.07555959050959267      -0.9436472553517
480000000                -0.016716650192666726    -0.9451341472041621
510000000                -0.10850632989212255     -0.9376917891608912
540000000                -0.19895693499230643     -0.921427037917178
570000000                -0.2872306858009401      -0.8965278165425454
600000000                -0.37251250938982045     -0.8632613968683011
630000000                -0.4540177769819261      -0.8219718468104171
660000000                -0.530999722996966       -0.7730766847519858
690000000                -0.6027564688000502      -0.7170627882240344
720000000                -0.6686375796942552      -0.6544816096363347
750000000                -0.7280500892577634      -0.5859437575250913
780000000                -0.7804639331523907      -0.5121130058931482
810000000                -0.82541673977217        -0.43369979983026496
840000000                -0.8625179337541466      -0.3514543287582004
870000000                -0.8914521155999824      -0.26615924233065597
900000000                -0.9119816885829479      -0.17862208667355495
930000000                -0.9239487125454933      -0.08966754035242384
960000000                -0.9272759722911978      -1.295305324499876E-4
990000000                -0.9219672567810534      0.08915669004432636
1020000000               -0.9081068534042229      0.17736242517506212
1050000000               -0.8858582698620263      0.2636732980400494
1080000000               -0.8554622038984019      0.34729681856229033
1110000000               -0.8172337886514234      0.42746968199447244
1140000000               -0.7715591484867919      0.5034647295888997
1170000000               -0.7188913066090463      0.5745975065669342
1200000000               -0.6597454919497179      0.6402323573256418
1230000000               -0.5946938979136613      0.6997880041651635
1260000000               -0.5243599505500611      0.7527425611675667
1290000000               -0.44941214749241215     0.7986379418050308
1320000000               -0.3705575323579613      0.8370836254157356
1350000000               -0.28853487172382214     0.86775975470979
1380000000               -0.20410760383124896     0.8904195434061107
1410000000               -0.11805662857887533     0.9048909805883772
1440000000               -0.031173009278769117    0.9110778250431555
1470000000               0.05574934408185239      0.9089598900856519
1500000000               0.14192094169258684      0.8985926261940199
1530000000               0.22656386383239832      0.8801060151994373
1560000000               0.3089187295316187       0.8537027961736794
1590000000               0.38825142252447425      0.8196560490204439
1620000000               0.46385951643125695      0.7783061673147756
1650000000               0.5350783452946714       0.7300572570266136
1680000000               0.6012866695893782       0.6753730025006021
1710000000               0.6619118931354842       0.6147720450564891
1740000000               0.7164347909397947       0.5488229234691292
1770000000               0.7643937138287392       0.47813862861766787
1800000000               0.8053882414045642       0.40337082722808254
1830000000               0.8390822610033504       0.3252038117580077
1860000000               0.8652064568549271       0.2443482348650143
1890000000               0.8835602007092401       0.16153468747557465
1920000000               0.8940128426062718       0.07750717927391709
1950000000               0.8965044086917171       -0.0069834213405431545
1980000000               0.8910457217961927       -0.09118593453565534
2010000000               0.8777179697253523       -0.17435535705774263
2040000000               0.8566717551445795       -0.255759256001401
2070000000               0.828125667407366        -0.3346840520848917
2100000000               0.792364416008526        -0.41044120421697033
2130000000               0.7497365485663732       -0.48237334589103953
2.16E9                   0.7006517278122889       -0.5498604690060784
2.19E9                   0.6455774409154444       -0.612326282850674
2.22E9                   0.5850348445356696       -0.6692448466894416
2.25E9                   0.519593231700917        -0.7201473958171191
2.28E9                   0.44986246641243355      -0.7646288479073328
2.31E9                   0.3764829527294339       -0.8023527884874518
2.34E9                   0.30011363910885436      -0.8330531269264404
2.37E9                   0.22142018275766892      -0.856530888573937
2.4E9                    0.14106670454351722      -0.8726465090098463
2.43E9                   0.05971381594395542      -0.8813109235562302
2.46E9                   -0.021977740064199836    -0.882480263417887
2.49E9                   -0.1033420966941307      -0.8761570255634095
2.52E9                   -0.18370677548680592     -0.8623964403215365
2.55E9                   -0.262396785415335       -0.841314000251193
2.58E9                   -0.33874306183522873     -0.8130905391371899
2.61E9                   -0.41209256724686283     -0.7779734908133156
2.64E9                   -0.4818178811555323      -0.7362748536390189
2.67E9                   -0.5473252781448228      -0.6883670852868394
2.7E9                    -0.608061184557118       -0.6346779956601951
2.73E9                   -0.6635172972620843      -0.5756852814630772
2.76E9                   -0.7132347052312643      -0.511910989793542
2.79E9                   -0.7568072739953284      -0.4439159921330144
2.82E9                   -0.7938844515654383      -0.3722944619609987
2.85E9                   -0.8241735758109474      -0.2976683272802807
2.88E9                   -0.8474417141782287      -0.2206816761588943
2.91E9                   -0.8635170401475908      -0.1419951091947953
2.94E9                   -0.8722897392600939      -0.06228004831993733
2.97E9                   -0.8737124344622441      0.017786975767714562
3.0E9                    -0.8678001223242712      0.09753002610692119
3.03E9                   -0.8546296158714948      0.1762794142298886
3.06E9                   -0.834338495274309       0.2533772655251612
3.09E9                   -0.8071235737071967      0.3281829522758224
3.12E9                   -0.7732388917668636      0.4000783515034001
3.15E9                   -0.7329932594234871      0.46847288709653845
3.18E9                   -0.6867473690992423      0.532808319169423
3.21E9                   -0.634910506312012       0.5925632485280431
3.24E9                   -0.5779368851123946      0.6472573090789008
3.27E9                   -0.5163216339631511      0.696455025359867
3.3E9                    -0.45059645430494        0.7397693145486818
3.33E9                   -0.3813249696164315      0.7768646115884941
3.36E9                   -0.3090977792359473      0.8074595913680179
3.39E9                   -0.23452723015005372     0.8313294537047424
3.42E9                   -0.15824192392574707     0.8483077258604965
3.45E9                   -0.08088098635399739     0.8582875257533167
3.48E9                   -0.003088145953102206    0.8612222199112974
3.51E9                   0.07449430677673306      0.8571254080243632
3.54E9                   0.15123157666284756      0.846070174970432
3.57E9                   0.22650230493373036      0.8281875749575403
3.6E9                    0.29970423974529686      0.8036643510139252
3.63E9                   0.3702594757754259       0.7727399421477884
3.66E9                   0.4376191172135501       0.7357028815357411
3.69E9                   0.5012672516451634       0.6928867325100343
3.72E9                   0.5607241683906475       0.6446657386033019
3.75E9                   0.615548806909941        0.5914503786039637
3.78E9                   0.665340476175376        0.533683019815123
3.81E9                   0.7097399468434031       0.4718338513382855
3.84E9                   0.7484300844605873       0.4063972460572842
3.87E9                   0.7811362538340426       0.3378886326516421
3.9E9                    0.807626757995902        0.2668418539997244
3.93E9                   0.8277135525321413       0.1938068619434466
3.96E9                   0.841253384061075        0.11934748800455007
3.99E9                   0.8481493558412737       0.04403897763172515
4.02E9                   0.8483527658761262       -0.03153499233716544
4.05E9                   0.8418649441119523       -0.10678598386856974
4.08E9                   0.8287387707722278       -0.18112517553182428
4.11E9                   0.8090795937995101       -0.25396832309230594
4.14E9                   0.7830453587887523       -0.3247410780893558
4.17E9                   0.7508458846343328       -0.39288440245029776
4.2E9                    0.7127413281524504       -0.457859839016417
4.23E9                   0.6690399573040292       -0.5191544608727073
4.26E9                   0.6200953851835784       -0.5762854022302578
4.29E9                   0.5663034081999386       -0.6288039473206046
4.32E9                   0.5080985542139338       -0.6762992041864851
4.35E9                   0.445950397455351        -0.7184014097097432
4.38E9                   0.38035965422719314      -0.754784903281112
4.41E9                   0.31185404851194926      -0.7851707796082823
4.44E9                   0.24098393341538973      -0.8093291996757843
4.47E9                   0.16831766877062773      -0.8270813142915991
4.5E9                    0.09443677969553993      -0.8383007428810068
4.53E9                   0.01993094745017601      -0.8429145524666984
4.56E9                   -0.054607093244905515    -0.8409036960852646
4.59E9                   -0.12858666117763634     -0.8323028933358793
4.62E9                   -0.20142414642241377     -0.8171999649291026
4.65E9                   -0.27254785480860955     -0.7957346632557947
4.68E9                   -0.3414026187817947      -0.7680970650585754
4.71E9                   -0.40745414926663764     -0.7345256016538575
4.74E9                   -0.4701931392170853      -0.6953047904984428
4.77E9                   -0.5291391533231831      -0.6507626998659205
4.8E9                    -0.5838443376193723      -0.6012681364706459
4.83E9                   -0.6338969545484385      -0.5472275112596467
4.86E9                   -0.6789247022643906      -0.48908132764105955
4.89E9                   -0.7185977292627297      -0.42730025624129536
4.92E9                   -0.7526312244587521      -0.36238080642248394
4.95E9                   -0.7807874602289977      -0.29484066355880273
4.98E9                   -0.8028771936082594      -0.2252138167357657
5.01E9                   -0.8187603839666914      -0.15404563994941003
5.04E9                   -0.8283462541623928      -0.08188810083006307
5.07E9                   -0.8315927929202925      -0.009295247940352294
5.1E9                    -0.8285058516892353      0.06318093003403395
5.13E9                   -0.8191380100647447      0.13499426351779584
5.16E9                   -0.803587355291109       0.20560785781798493
5.19E9                   -0.7819962437819064      0.2744973833108287
5.22E9                   -0.7545500099124696      0.3411543397152528
5.25E9                   -0.7214755029204314      0.4050893689851914
5.28E9                   -0.6830393099066662      0.46583558399520825
5.31E9                   -0.6395455778184633      0.5229517824971659
5.34E9                   -0.5913334549082573      0.5760253788240951
5.37E9                   -0.5387742777838709      0.6246749297799656
5.4E9                    -0.4822686814321567      0.6685522326894042
5.43E9                   -0.42224378478047275     0.7073440827440317
5.46E9                   -0.35915052019563        0.740773845284088
5.49E9                   -0.2934610711172722      0.7686030038763418
5.52E9                   -0.22566629715211076     0.7906327930800857
5.55E9                   -0.1562729837604831      0.8067059397908687
5.58E9                   -0.08580075923233502     0.8167084460538329
5.61E9                   -0.014778568149849037    0.8205712699493439
5.64E9                   0.05625933312387126      0.8182717131971515
5.67E9                   0.12677779953047227      0.8098343145268686
5.7E9                    0.19624548516358653      0.7953310852942482
5.73E9                   0.26413957261256904      0.7748810100853277
5.76E9                   0.32995030646972323      0.7486488542121553
5.79E9                   0.39318515296011736      0.7168434324855664
5.82E9                   0.4533725256164056       0.6797155498844488
5.85E9                   0.5100651432259173       0.637555795672727
5.88E9                   0.5628431618113308       0.5906922737908821
