% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 7 2022, 16:21
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.49094141744664876      -0.7859972296751144
330000000                0.41082714818996674      -0.8276678750364082
360000000                0.32745496813286545      -0.8613692490274745
390000000                0.24157227525234204      -0.8868585777170623
420000000                0.1539513714238533       -0.9039599747425321
450000000                0.06538182312693995      -0.9125683319956706
480000000                -0.023337349516333997    -0.9126518954296415
510000000                -0.11140554627641085     -0.9042536823313114
540000000                -0.1980284310529065      -0.8874918530254527
570000000                -0.2824256634517899      -0.8625591233326232
600000000                -0.36383844031915946     -0.8297212881200382
630000000                -0.441536775355469       -0.7893149178880919
660000000                -0.5148264484824064      -0.7417442859619918
690000000                -0.5830555597982333      -0.6874775837208947
720000000                -0.6456206294224848      -0.6270424810446231
750000000                -0.701972186702726       -0.561021092520848
780000000                -0.7516197996832714      -0.49004441133476073
810000000                -0.7941364999904965      -0.41478627643623905
840000000                -0.8291625653827742      -0.3359569405901923
870000000                -0.8564086282520942      -0.25429630959686905
900000000                -0.8756580856294065      -0.17056692465094528
930000000                -0.8867687930841417      -0.08554676130760444
960000000                -0.8896740324938635      -2.1918814287902344E-5
990000000                -0.8843827507186298      0.0852207257834634
1020000000               -0.8709790737708586      0.1694008259308385
1050000000               -0.8496211081428197      0.25175176381432796
1080000000               -0.8205390479539698      0.3315276693403545
1110000000               -0.7840326133894221      0.40801019236841907
1140000000               -0.7404678521046382      0.4805149649582676
1170000000               -0.6902733413863958      0.5483976938620545
1200000000               -0.6339358340279893      0.6110598285427149
1230000000               -0.5719953960613495      0.6679537545344125
1260000000               -0.5050400886411706      0.7185874678143561
1290000000               -0.4337002498835477      0.7625286916889319
1320000000               -0.3586424359663786      0.7994084033691964
1350000000               -0.2805630825737975      0.828923744280259
1380000000               -0.20018194995854488     0.8508402940953212
1410000000               -0.11823541562509732     0.8649936952281259
1440000000               -0.03546967907189789     0.871290620907397
