% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 23 2022, 19:56
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.4489032861775091       -0.7276645004415571
330000000                0.37520509802938395      -0.7651010093125923
360000000                0.2986070527822568       -0.7953093614573521
390000000                0.2197839156964582       -0.8180574956537362
420000000                0.13943555224778256      -0.833179609437408
450000000                0.05827843388073522      -0.8405780302178734
480000000                -0.02296234721916033     -0.8402243121107784
510000000                -0.10356071559037705     -0.8321595844616848
540000000                -0.1827969715426111      -0.8164941756342605
570000000                -0.2599648877821477      -0.7934065354695533
600000000                -0.3343785320323622      -0.7631414819081542
630000000                -0.40537878636306135     -0.7260078005391372
660000000                -0.47233952649465333     -0.6823752295298359
690000000                -0.5346734190504734      -0.6326708669215657
720000000                -0.5918372948546782      -0.5773750412184322
750000000                -0.6433370564505516      -0.5170166908346653
780000000                -0.6887320813911858      -0.45216830155256704
810000000                -0.727639086001671       -0.3834404550209259
840000000                -0.7597354190656875      -0.31147604427958003
870000000                -0.7847617597638475      -0.23694421514511366
900000000                -0.8025241999047685      -0.16053409414975317
930000000                -0.8128956961705965      -0.08294836541198401
960000000                -0.8158168842726431      -0.004896759496310497
990000000                -0.8112962529872567      0.07291048228112855
1020000000               -0.7994096822904636      0.1497691053228998
1050000000               -0.7802993558470629      0.22498723898387915
1080000000               -0.7541720641239812      0.29789163350929315
1110000000               -0.7212969200803837      0.36783367873555933
1140000000               -0.6820025148737638      0.4341951494959071
1170000000               -0.6366735460888244      0.4963936260335502
1200000000               -0.5857469557052501      0.5538875415609436
1230000000               -0.5297076192413432      0.6061808133835713
1260000000               -0.46908363130500574     0.652827018565985
1290000000               -0.4044412359695095      0.6934330801521785
1320000000               -0.33637945313466855     0.7276624350505487
1350000000               -0.26552445411452635     0.7552376601400308
1380000000               -0.19252374130120276     0.7759425386081513
1410000000               -0.1180401877091457      0.7896235541269594
1440000000               -0.04274599266667796     0.7961908060266867
1470000000               0.03268339019673956      0.7956183441595126
1500000000               0.10757529728655034      0.787943927576013
1530000000               0.18126581727796598      0.773268216364782
1560000000               0.2531056187652702       0.7517534111164997
1590000000               0.3224655927114588       0.7236213592526867
1620000000               0.38874226183400895      0.6891511520464082
1650000000               0.45136291186048755      0.6486762403858448
1680000000               0.5097904030462861       0.6025811012395597
1710000000               0.563527623891101        0.5512974903486638
1740000000               0.6121215530725295       0.49530031981869654
1770000000               0.6551668998027328       0.43510320212179476
1800000000               0.6923092975089887       0.37125370428287263
1830000000               0.7232480305537341       0.30432835800284613
1860000000               0.7477382790166711       0.23492747274789158
1890000000               0.7655928721529606       0.16366979959479444
1920000000               0.7766835472238324       0.09118709348362115
1950000000               0.7809417169688015       0.018118620180419667
1980000000               0.7783587559366585       -0.05489434864311931
2010000000               0.768985823091834        -0.12721401448561578
2040000000               0.7529332446571506       -0.1982114766912224
2070000000               0.730369485251805        -0.2672720889742693
2100000000               0.7015197332339149       -0.3338007554762877
2130000000               0.6666641106388529       -0.39722720258957844
2.16E9                   0.6261354780722919       -0.4570112933572268
2.19E9                   0.5803167262163734       -0.5126484680056207
2.22E9                   0.5296373207137667       -0.5636753597811786
2.25E9                   0.4745687190524329       -0.6096754880674397
2.28E9                   0.4156182033919278       -0.6502846055257139
2.31E9                   0.353320871434492        -0.6851947924835821
2.34E9                   0.2882302205920128       -0.7141560036459478
2.37E9                   0.22090889207920592      -0.7369740230349414
2.4E9                    0.15192200592295554      -0.7535051341016397
2.43E9                   0.08183497635955117      -0.7636498235650647
2.46E9                   0.011215417043062637     -0.7673489010145937
2.49E9                   -0.05936376521627445     -0.7645841666334401
2.52E9                   -0.12932355561013048     -0.7553829413907877
2.55E9                   -0.19808199968777773     -0.7398237212197043
2.58E9                   -0.2650607139744999      -0.7180402837769353
2.61E9                   -0.32969290648012867     -0.6902230362369103
2.64E9                   -0.3914312572365846      -0.6566177940404985
2.67E9                   -0.44975478677392744     -0.6175228092450931
2.7E9                    -0.504174515095562       -0.5732848511255226
2.73E9                   -0.5542380586699832      -0.524294869682659
2.76E9                   -0.5995333997761827      -0.4709835083245401
2.79E9                   -0.6396920257133205      -0.41381656279095913
