% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 23 2022, 20:00
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.46573376600754024      -0.7549615682654145
330000000                0.3894048293855196       -0.7936914994503597
360000000                0.3100851185835522       -0.8249799162414404
390000000                0.2284594715053146       -0.8485808392066579
420000000                0.14524245187658522      -0.864315834094049
450000000                0.06116872208051305      -0.8720765225352807
480000000                -0.023015801019070282    -0.8718260775750816
510000000                -0.10656227138983088     -0.8635998267215987
540000000                -0.18872684988034438     -0.847505035433009
570000000                -0.26877830364651073     -0.8237199209155999
600000000                -0.34600527896644995     -0.7924919364761702
630000000                -0.41972323152528856     -0.7541353637466108
660000000                -0.4892809846873659      -0.7090282508285652
690000000                -0.5540668782240151      -0.657608736995411
720000000                -0.6135144669846015      -0.6003708081515342
750000000                -0.6671077289925634      -0.5378595308760281
780000000                -0.7143857435221003      -0.47066581715891104
810000000                -0.7549468036654917      -0.39942077505921947
840000000                -0.7884519314671854      -0.32478970428374687
870000000                -0.814627769172978       -0.2474657979831436
900000000                -0.83326882546603        -0.16816361453421302
930000000                -0.8442390615151254      -0.08761238494093296
960000000                -0.8474728082015766      -0.006549221638895899
990000000                -0.8429750119819414      0.07428770441996142
1020000000               -0.830820813436363       0.15416595227171392
1050000000               -0.8111544689793373      0.23236550011360935
1080000000               -0.7841876323817536      0.30818527155617303
1110000000               -0.750197018839404       0.38094943823038696
1140000000               -0.7095214800764174      0.4500134403966895
1170000000               -0.6625585243054041      0.5147696712429438
1200000000               -0.6097603198605528      0.5746527742420148
1230000000               -0.5516292258038498      0.6291445074854433
1260000000               -0.4887128967661964      0.6777781338215911
1290000000               -0.4215990127635665      0.7201423007181245
1320000000               -0.3509096874737481      0.7558843793494922
1350000000               -0.2772956108663053      0.784713237919513
1380000000               -0.20142998368329135     0.806401430099787
1410000000               -0.12400230224361355     0.8207867853727633
1440000000               -0.0457120526501031      0.8277733938084264
1470000000               0.03273762666673772      0.8273319837154745
1500000000               0.1106462559790522       0.8194996962906714
1530000000               0.18732224169288295      0.8043792668955073
