% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 23 2022, 19:57
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.49954293227529123      -0.7940702014495952
330000000                0.4185541102943482       -0.8368580748220794
360000000                0.334163431062354        -0.8715518342795789
390000000                0.24713952785552992      -0.8978957390078346
420000000                0.15827554603237265      -0.9157034287482914
450000000                0.0683816686953902       -0.9248616079802784
480000000                -0.021722629640642133    -0.9253325110420649
510000000                -0.11121646729990964     -0.9171552578070508
540000000                -0.19928546497440802     -0.9004461847719014
570000000                -0.2851295809625466      -0.8753982207061372
600000000                -0.36797078332231997     -0.8422793671034388
630000000                -0.4470604762255521      -0.8014303391314004
660000000                -0.521686604687005       -0.7532614216643282
690000000                -0.5911803670535226      -0.6982485956387565
720000000                -0.6549224698790551      -0.6369289923438507
750000000                -0.7123488660620939      -0.5698957358558719
780000000                -0.7629559225319705      -0.49779223716792065
810000000                -0.8063049703605749      -0.42130600671540536
840000000                -0.8420261969499763      -0.34116205489573037
870000000                -0.8698218468363254      -0.25811595284017663
900000000                -0.8894687051182034      -0.17294662757817825
930000000                -0.9008198449025845      -0.08644896738253928
960000000                -0.9038056279551189      5.736864067686884E-4
990000000                -0.8984339553388383      0.08731708459179799
1020000000               -0.8847897725278462      0.17298357670145553
1050000000               -0.8630338409334177      0.25678950463879485
1080000000               -0.8334007951193101      0.337972411404869
1110000000               -0.7961965119227209      0.41579799568693265
1140000000               -0.751794824303448       0.48956674677128176
1170000000               -0.7006336188551207      0.558620198386119
1200000000               -0.6432103616392266      0.6223467447062747
1230000000               -0.580077101877948       0.6801869673129657
1260000000               -0.5118350076224484      0.7316384272775303
1290000000               -0.4391284913324097      0.7762598826409957
1320000000               -0.3626389861889531      0.8136748980931782
1350000000               -0.28307843663118976     0.8435748198937063
1380000000               -0.20118256824724565     0.8657210958793048
1410000000               -0.1177040030278624      0.8799469271352754
1440000000               -0.0334052865354094      0.8861582444945642
1470000000               0.05094810691342353      0.884334009686309
1500000000               0.13459472601683017      0.8745258473790488
1530000000               0.21678398742674201      0.8568570205703896
1560000000               0.2967828527936273       0.8315207677681203
1590000000               0.3738822789492444       0.7987780260272104
1620000000               0.44740338600723856      0.7589545691959425
1650000000               0.5167032913701951       0.7124375956594067
1680000000               0.5811805620628402       0.6596718043091653
1710000000               0.6402802419451444       0.6011550016194275
1740000000               0.6934984154676578       0.5374332861886083
1770000000               0.7403862744488183       0.4690958604472334
1800000000               0.7805536601579256       0.3967695216431595
1830000000               0.8136720584845485       0.32111288667165855
1860000000               0.8394770324638934       0.24281040665918152
1890000000               0.8577700830044308       0.16256622827065229
1920000000               0.8684199360441639       0.08109795867526641
1950000000               0.8713632624104228       -8.696100391532232E-4
1980000000               0.8666048455853353       -0.08261076435372085
2010000000               0.8542172222466008       -0.1634050740268216
2040000000               0.8343398302900344       -0.24254350198113017
2070000000               0.8071777072760388       -0.31933440087624876
2100000000               0.7729997847737352       -0.39310940513867376
2130000000               0.7321368124998333       -0.4632292663638297
2.16E9                   0.6849789059252619       -0.5290897279770362
2.19E9                   0.6319726210666023       -0.5901275767391522
2.22E9                   0.5736173014321837       -0.645827002186292
2.25E9                   0.5104602256831224       -0.6957262597771146
2.28E9                   0.44308990783365554      -0.7394242670141234
2.31E9                   0.37212700837510604      -0.7765861332664487
2.34E9                   0.29821303722855835      -0.8069459775957709
2.37E9                   0.221998445014842        -0.8303053891790653
2.4E9                    0.14413308688440304      -0.8465272708137725
2.43E9                   0.06526192307602817      -0.855527352760705
2.46E9                   -0.013973628824397899    -0.8572675320600679
2.49E9                   -0.09293160477362755     -0.8517543511432998
2.52E9                   -0.1709669909417212      -0.8390427048299502
2.55E9                   -0.247433549996127       -0.8192419550228094
2.58E9                   -0.3216899003861524      -0.7925211110832456
2.61E9                   -0.3931079766935504      -0.7591111741735821
2.64E9                   -0.4610818620756472      -0.7193044635671457
2.67E9                   -0.5250357537660011      -0.6734516896103326
2.7E9                    -0.5844306323236798      -0.6219576885679077
2.73E9                   -0.638769685702925       -0.5652764964715373
2.76E9                   -0.6876027098699525      -0.5039061451764367
2.79E9                   -0.7305297071685364      -0.4383833520882494
2.82E9                   -0.7672038430248813      -0.36927815974164613
2.85E9                   -0.7973338584270353      -0.29718853278360186
2.88E9                   -0.8206859880373122      -0.22273490832566836
2.91E9                   -0.8370854042819297      -0.14655469978929095
2.94E9                   -0.8464171916319382      -0.06929676395153811
2.97E9                   -0.8486268482684042      0.008384149316134442
3.0E9                    -0.8437203108987417      0.08583293690814148
3.03E9                   -0.8317635004048901      0.16239963797481083
3.06E9                   -0.8128813899274256      0.23744484695016382
3.09E9                   -0.787256601997798       0.3103450037463345
3.12E9                   -0.7551275468568494      0.3804975203354333
3.15E9                   -0.7167861195454901      0.44732570433290003
3.18E9                   -0.6725749780046288      0.5102834434182988
3.21E9                   -0.6228844277323127      0.5688596186624925
3.24E9                   -0.5681489397222022      0.6225822200061201
3.27E9                   -0.5088433273394884      0.6710221415834274
3.3E9                    -0.44547860462141103     0.7137966374278979
3.33E9                   -0.3785975441867202      0.7505724180302581
3.36E9                   -0.30876994897868015     0.7810683645442077
3.39E9                   -0.23658765042303626     0.8050578301053867
3.42E9                   -0.16265924820448455     0.8223704876606919
3.45E9                   -0.08760461570613778     0.8328936727388006
3.48E9                   -0.012049211123659377    0.8365731607531868
3.51E9                   0.06338174287634679      0.8334133155070692
3.54E9                   0.1380691208108038       0.8234765525557419
3.57E9                   0.21140568032616278      0.8068820808765187
3.6E9                    0.28280163570769407      0.7838039189180619
3.63E9                   0.35168987599768653      0.7544682225734398
3.66E9                   0.41753069554077804      0.7191500053956942
3.69E9                   0.4798159306071675       0.6781693673252851
3.72E9                   0.5380724306109327       0.6318873723939537
3.75E9                   0.5918648298281024       0.5807017291575857
3.78E9                   0.6407976236352866       0.5250424343107014
3.81E9                   0.6845165963427213       0.46536754181996776
3.84E9                   0.7227097009020611       0.40215921069334676
3.87E9                   0.7551075512754715       0.3359201509753369
3.9E9                    0.7814837397601849       0.26717051846427137
3.93E9                   0.8016552080529711       0.1964452076034864
3.96E9                   0.8154828609865725       0.12429138256236259
3.99E9                   0.8228725139275191       0.051266005568523926
4.02E9                   0.8237761327806183       -0.02206689867857388
4.05E9                   0.8181931997991825       -0.0951394519431557
4.08E9                   0.8061719580298004       -0.16738370669425712
4.11E9                   0.7878102729692575       -0.23823597917861591
4.14E9                   0.763255898749398        -0.3071415934144085
4.17E9                   0.7327060258734097       -0.3735598307280406
4.2E9                    0.6964060885402894       -0.4369688652415616
4.23E9                   0.6546478949050343       -0.4968704982354411
4.26E9                   0.6077671956619558       -0.5527945657145484
4.29E9                   0.5561408193063055       -0.604302962258417
4.32E9                   0.5001834821683716       -0.6509932802872334
4.35E9                   0.44034434200669725      -0.6925020946559668
4.38E9                   0.37710332259778795      -0.728507925364319
4.41E9                   0.3109672076728789       -0.7587338927009231
4.44E9                   0.24246549256332842      -0.7829500512627059
4.47E9                   0.17214599025375232      -0.8009753637843192
4.5E9                    0.10057020922352643      -0.8126792604168251
4.53E9                   0.02830854593269834      -0.8179827269583507
4.56E9                   -0.044064641134298914    -0.8168588758968703
4.59E9                   -0.11597599119613484     -0.809332974700161
4.62E9                   -0.18685804189109823     -0.7954819334902674
4.65E9                   -0.2561539832782687      -0.7754332846810837
4.68E9                   -0.3233221969264882      -0.749363713662911
4.71E9                   -0.3878405438224273      -0.7174972138053494
4.74E9                   -0.4492104007727051      -0.6801029338358862
4.77E9                   -0.506960472459341       -0.6374927599380911
4.8E9                    -0.5606504127863954      -0.5900186367102859
4.83E9                   -0.6098742698592127      -0.5380695956623102
4.86E9                   -0.6542637296997426      -0.4820684431704466
4.89E9                   -0.6934910897667129      -0.4224680703440735
4.92E9                   -0.7272718609652884      -0.35974738308478926
4.95E9                   -0.7553668879334201      -0.2944069006119004
4.98E9                   -0.7775838950970946      -0.226964121128734
5.01E9                   -0.7937784071071224      -0.15794879105719387
5.04E9                   -0.8038540487010923      -0.08789823042166461
5.07E9                   -0.8077622902467649      -0.017352855191239747
5.1E9                    -0.8055017573297054      0.053148003993635375
5.13E9                   -0.7971172497838581      0.12306995326228398
5.16E9                   -0.7826986034733123      0.19188709882315008
5.19E9                   -0.7623794732737011      0.2590854228496562
5.22E9                   -0.7363360327322974      0.324166088731321
5.25E9                   -0.7047855079205949      0.386648752110155
5.28E9                   -0.6679844279983661      0.44607487075681673
5.31E9                   -0.6262265039976154      0.5020109182059199
5.34E9                   -0.5798401285486998      0.5540513582614359
5.37E9                   -0.5291855825929969      0.6018212546332364
5.4E9                    -0.4746520950014377      0.6449784627922285
5.43E9                   -0.4166549018909036      0.6832154433068389
5.46E9                   -0.3556323989127105      0.7162608070730174
5.49E9                   -0.29204339878431895     0.7438807279371348
5.52E9                   -0.22636442934872003     0.7658803351093159
5.55E9                   -0.15908695702520978     0.7821051405449335
5.58E9                   -0.09071440585899496     0.792442484816283
5.61E9                   -0.021758862569003414    0.7968229161201464
5.64E9                   0.04726259229657277      0.795221363900776
5.67E9                   0.11583191507840898      0.7876579420518008
5.7E9                    0.183434397500821        0.7741982276283026
5.73E9                   0.24956306689282182      0.7549529161229556
5.76E9                   0.3137229879293509       0.7300768466567767
5.79E9                   0.3754352914832513       0.6997674916296043
5.82E9                   0.4342408394045995       0.6642630729814282
5.85E9                   0.48970354020376305      0.6238404686487866
5.88E9                   0.5414134096730034       0.5788130093407611
5.91E9                   0.5889894885823177       0.5295281735803716
5.94E9                   0.6320826884031079       0.4763651146305261
5.97E9                   0.6703785660081799       0.41973192443658586
6.0E9                    0.7035999638874305       0.36006255655607206
