% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 8 2022, 19:43
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.4108227543440853       -0.7785135454862583
330000000                0.3265661618765261       -0.8147656617780332
360000000                0.23933465076610094      -0.8421217396977826
390000000                0.15003490623174986      -0.8603360330717074
420000000                0.059599337850512774     -0.8692574799888851
450000000                -0.03102553961764869     -0.8688319020938264
480000000                -0.1208903719478002      -0.8591029597967614
510000000                -0.20905393463733368     -0.8402119065536287
540000000                -0.2945937924126839      -0.8123961817953845
570000000                -0.37661659822309074     -0.7759868837867928
600000000                -0.4542679597282446      -0.7314051689603387
630000000                -0.5267417919532489      -0.6791576313973993
660000000                -0.5932890709560414      -0.6198307244162353
690000000                -0.6532259041748127      -0.5540842948543511
720000000                -0.7059408371524338      -0.48264430923946283
750000000                -0.7509013225011334      -0.40629485915755126
780000000                -0.7876592850098094      -0.32586954064548473
810000000                -0.8158557261930934      -0.24224230895576412
840000000                -0.8352243221570372      -0.15631791546545207
870000000                -0.8455939799067734      -0.06902203782257975
900000000                -0.8468903292701221      0.018708782708462247
930000000                -0.839136139883385       0.10593728121522594
960000000                -0.8224506651888476      0.19173557079027004
990000000                -0.7970479278773711      0.2751950915277049
1020000000               -0.7632339733877386      0.3554362953813076
1050000000               -0.7214031299392826      0.4316179593373954
1080000000               -0.6720333247603134      0.5029460248355688
1110000000               -0.6156805166378008      0.568681868053625
1140000000               -0.5529723145593008      0.6281499131696491
1170000000               -0.4846008607832425      0.6807445095371889
1200000000               -0.41131506412671603     0.7259360031719666
1230000000               -0.3339122756344792      0.7632759430739929
1260000000               -0.25322950378768533     0.7924013736329396
1290000000               -0.17013427034731787     0.8130381753824539
1320000000               -0.08551521026176126     0.8250034277174452
1350000000               -2.72520470359261E-4     0.8282067784228524
1380000000               0.08469163756186582      0.8226508161192192
1410000000               0.1684826780304233       0.8084304527768744
1440000000               0.2502229723726956       0.7857313340552888
1470000000               0.329060974338009        0.7548273054493148
1500000000               0.4041799951197549       0.7160769718236933
1530000000               0.47480654015721413      0.6699193969509529
1560000000               0.5402181256401548       0.61686899784375
1590000000               0.5997504991747787       0.5575096962748479
1620000000               0.652804196803497        0.49248839641495157
1650000000               0.6988503762522598       0.42250786344067537
1680000000               0.7374358748268801       0.3483190827993211
1710000000               0.7681874489722595       0.270713183934502
1740000000               0.7908151615906367       0.1905130153472333
1770000000               0.8051148924361045       0.10856446000429265
1800000000               0.8109699562056513       0.02572758150493229
1830000000               0.8083518225179696       -0.05713230853262396
1860000000               0.7973199414452975       -0.1391535720646276
1890000000               0.7780206878229091       -0.21948706752749203
1920000000               0.7506854469690986       -0.29730478955245176
1950000000               0.7156278735683849       -0.3718082462591383
1980000000               0.673240363956872        -0.44223650164612227
2010000000               0.623989789104816        -0.5078738204572514
2040000000               0.5684125399981813       -0.5680568654460906
