% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 8 2022, 16:35
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.44605906633482634      -0.8331138585141802
330000000                0.3553968789264495       -0.873334997606309
360000000                0.26136170685435084      -0.9038667382197169
390000000                0.16495073150127146      -0.9244399558018467
420000000                0.06718749257262609      -0.9348853726228914
450000000                -0.03088940476980149     -0.9351372640826047
480000000                -0.12823781247217525     -0.925235522800345
510000000                -0.22382362597094688     -0.9053261917706167
540000000                -0.3166322825896907      -0.8756605551017957
570000000                -0.4056800297536838      -0.8365928637602622
600000000                -0.4900248289384417      -0.7885767704197595
630000000                -0.5687767677703447      -0.7321605495468808
660000000                -0.6411078608985531      -0.6679811836015407
690000000                -0.7062611276422482      -0.5967574031627926
720000000                -0.7635588436790086      -0.5192817765029907
750000000                -0.8124098742380346      -0.436411951728743
780000000                -0.852316006976608       -0.3490611626430311
810000000                -0.8828772153353217      -0.25818811574331424
840000000                -0.9037957956636801      -0.16478638208860846
870000000                -0.9148793354447776      -0.06987342190635609
900000000                -0.9160424839196994      0.025520626699428218
930000000                -0.9073075110799087      0.12036426205977431
960000000                -0.888803655617775       0.21363590345195146
990000000                -0.8607652770230925      0.30433501456404577
1020000000               -0.8235288412046229      0.3914929376547144
1050000000               -0.7775287828249327      0.4741833153896776
1080000000               -0.7232923005721661      0.5515319831147697
1110000000               -0.6614331536582109      0.622726222494846
1140000000               -0.5926445390427542      0.6870232760316315
1170000000               -0.5176911386843113      0.7437580322760624
1200000000               -0.43740043476694945     0.7923498024634253
1230000000               -0.3526533980765482      0.832308121114198
1260000000               -0.264374660359508       0.8632375155693318
1290000000               -0.17352228590159627     0.8848412021272042
1320000000               -0.08107726020110562     0.8969236795314043
1350000000               0.011967185055558006     0.899392203552841
1380000000               0.104616291645727        0.8922571393153501
1410000000               0.1958844216210899       0.8756312006189572
1440000000               0.28480551664255316      0.8497275976897116
1470000000               0.3704432592742222       0.8148571263861796
1500000000               0.45190083095797         0.7714242427593834
1530000000               0.5283301674206292       0.7199221770955577
1560000000               0.5989406196821648       0.6609271507306662
1590000000               0.6630069364423768       0.595091767400615
1620000000               0.7198764924082571       0.5231376582200354
1650000000               0.7689756961937952       0.4458474658184131
1680000000               0.8098155210742594       0.3640562585327846
1710000000               0.8419961118002111       0.2786424699772256
1740000000               0.8652104310796713       0.19051846249361518
1770000000               0.8792469196721975       0.10062081542055488
1800000000               0.8839911548135512       0.009900440193967318
1830000000               0.8794265023805115       -0.08068737559303328
1860000000               0.865633769012844        -0.17019289407339927
1890000000               0.8427898712747037       -0.2576817243758025
1920000000               0.8111655496302564       -0.34224439656746997
1950000000               0.7711221655129151       -0.4230056233705384
1980000000               0.7231076296245107       -0.49913316902041727
2010000000               0.6676515180477343       -0.5698462557692378
2040000000               0.6053594383476923       -0.6344234536192513
2070000000               0.5369067077829056       -0.692210018245719
2100000000               0.4630313954432433       -0.7426246650744099
2130000000               0.38452675245250706      -0.7851657904433447
2.16E9                   0.3022330010160582       -0.8194171623112615
2.19E9                   0.21702836883445561      -0.8450530798096358
2.22E9                   0.12981915374347164      -0.8618429016640603
2.25E9                   0.04152854106918298      -0.8696546202346657
2.28E9                   -0.046915994580725956    -0.8684567997891064
2.31E9                   -0.13459640476070156     -0.8583178354922707
2.34E9                   -0.2206176991073285      -0.839401498148083
2.37E9                   -0.3041193145137787      -0.8119586152221349
2.4E9                    -0.38428194351536843     -0.7763165636250249
2.43E9                   -0.4603292064456569      -0.7328699422168407
2.46E9                   -0.5315264056067539      -0.6820755726174142
2.49E9                   -0.5971803861641903      -0.6244523382551893
2.52E9                   -0.6566435114195408      -0.5605832702925063
2.55E9                   -0.7093218671652214      -0.4911162522111169
2.58E9                   -0.7546855321381306      -0.41676110259508636
2.61E9                   -0.7922783991898187      -0.3382829119805936
2.64E9                   -0.8217260055050976      -0.25649279508488
2.67E9                   -0.8427409580828306      -0.17223740517093108
2.7E9                    -0.8551262037652754      -0.08638816298678939
2.73E9                   -0.8587765862917269      1.693095957373122E-4
2.76E9                   -0.8536790753680639      0.08654537098803153
2.79E9                   -0.8399119268056805      0.17185612322179844
2.82E9                   -0.8176429246622248      0.25523276761947794
2.85E9                   -0.787126787605958       0.33583055842501097
2.88E9                   -0.7487017868110533      0.4128373406265932
2.91E9                   -0.702785609906463       0.48548163881874634
2.94E9                   -0.6498705051409277      0.5530402501969843
2.97E9                   -0.5905177457290411      0.6148452868073255
3.0E9                    -0.5253514626702506      0.6702906094196145
3.03E9                   -0.4550519031215591      0.7188375966518455
3.06E9                   -0.38034817990935166     0.7600201971208144
3.09E9                   -0.30201058488870425     0.7934492191251613
3.12E9                   -0.2208425447444883      0.8188158206175897
