% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 8 2022, 09:10
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.42133281662159594      -0.7987493892411189
330000000                0.33504344992453383      -0.8358620905386053
360000000                0.24570301994477717      -0.8639095047211129
390000000                0.1542280634052002       -0.8826299967998317
420000000                0.06156549494470625      -0.8918587852874617
450000000                -0.031320232238862114    -0.8915305900195645
480000000                -0.12345931726600928     -0.88168084718321
510000000                -0.21388832098770483     -0.8624456115597483
540000000                -0.3016614459552419      -0.8340602230314572
570000000                -0.3858613751963659      -0.7968567973179121
600000000                -0.4656096210747589      -0.7512605970737303
630000000                -0.5400763161162104      -0.6977853424155804
660000000                -0.6084893687394598      -0.6370275258220771
690000000                -0.670142902827077       -0.5696598047949547
720000000                -0.7244049028460462      -0.4964235533021736
750000000                -0.7707239900585705      -0.4181206619622671
780000000                -0.8086352631788263      -0.33560468414885286
810000000                -0.8377651454653029      -0.24977143235090798
840000000                -0.8578351907354093      -0.16154913469154586
870000000                -0.86866481210423        -0.07188826629553105
900000000                -0.8701729094636254      0.018248826966246006
930000000                -0.8623783842543447      0.10789839275606306
960000000                -0.8453995429483758      0.1961057048829428
990000000                -0.8194524035485533      0.28193534592857145
1020000000               -0.7848479320219257      0.3644812238801982
1050000000               -0.7419882478733397      0.44287621133512983
1080000000               -0.6913618496956495      0.5163013011507391
1110000000               -0.6335379224890177      0.5839941790967992
1140000000               -0.5691597984680148      0.6452571222251556
1170000000               -0.4989376521289751      0.6994641403678825
1200000000               -0.42364051814931236     0.7460672881016152
1230000000               -0.3440877272770503      0.7846020850547681
1260000000               -0.2611398606736085      0.8146919934685581
1290000000               -0.17568932729914621     0.8360519133504548
1320000000               -0.08865067149465951     0.8484906673272177
1350000000               -9.507192343956917E-4    0.8519124590319962
1380000000               0.08648132823520385      0.84631730048455
1410000000               0.17272374610206623      0.8318004154207337
1440000000               0.25687197787510047      0.8085506365567099
1470000000               0.3380480660166896       0.7768478253989738
1500000000               0.4154097243062488       0.7370593531737714
1530000000               0.48815896024388955      0.6896356908796404
1560000000               0.5555501624263036       0.6351051649131159
1590000000               0.6168975744748298       0.5740679426638463
1620000000               0.671582085101634        0.5071893192137743
1650000000               0.7190572718308883       0.43519238254032583
1680000000               0.7588546448320064       0.3588501394822168
1710000000               0.7905880461274176       0.2789771891561742
1740000000               0.8139571689322648       0.19642103354884394
1770000000               0.8287501713174592       0.11205311742343774
1800000000               0.8348453681587493       0.02675969088518673
1830000000               0.832211995114448        -0.05856741179903696
1860000000               0.8209100482302528       -0.14303998436671053
1890000000               0.8010892126176459       -0.225782561011811
1920000000               0.7729869033365191       -0.3059413420042582
1950000000               0.7369254510113582       -0.38269285039462103
1980000000               0.6933084733301702       -0.4552522451923676
2010000000               0.642616480808242        -0.5228812261469801
2040000000               0.5854017694202778       -0.5848954785290356
2070000000               0.5222826516510726       -0.6406716226036879
2100000000               0.453937066936118        -0.6896536512089627
2130000000               0.381095586540887        -0.7313588556558741
2.16E9                   0.3045337802499972       -0.7653832442272108
2.19E9                   0.22506384098065518      -0.791406427185608
2.22E9                   0.1435252844829181       -0.8091958421354661
2.25E9                   0.06077451166939696      -0.8186099863309686
2.28E9                   -0.022326839419688407    -0.8196000132007294
2.31E9                   -0.10492436267956062     -0.8122087776568465
2.34E9                   -0.1861829706509509      -0.796566527120036
2.37E9                   -0.2652966152068169      -0.7728833509923586
2.4E9                    -0.34149378905709926     -0.741440164096189
2.43E9                   -0.4140386688013254      -0.7025813251708306
2.46E9                   -0.48223031423887747     -0.6567114291152809
2.49E9                   -0.5454036077474392      -0.6042961906087527
