% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 8 2022, 10:03
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.44000157676772         -0.8274586450883668
330000000                0.3499871292279675       -0.8668202306374687
360000000                0.2567201519726517       -0.8965913357090504
390000000                0.16117990483743477      -0.9165150846276312
420000000                0.064372019377344        -0.926432142412272
450000000                -0.03268287410370672     -0.9262845528759975
480000000                -0.12896065862999678     -0.9161178678553012
510000000                -0.22344524315649483     -0.8960817167546207
540000000                -0.3151399440949705      -0.8664289265477145
570000000                -0.4030786077220744      -0.8275132821576829
600000000                -0.48633635024520966     -0.7797860087560036
630000000                -0.5640397966637707      -0.7237910561416606
660000000                -0.6353767053884438      -0.6601592682837336
690000000                -0.6996048723949757      -0.589601526463883
720000000                -0.7560602165145252      -0.5129009615382273
750000000                -0.8041639574293872      -0.43090433731018296
780000000                -0.8434288077156151      -0.34451271480701384
810000000                -0.8734641124556582      -0.25467151290785794
840000000                -0.893979882005144       -0.1623600869047813
870000000                -0.9047896770141659      -0.06858095030658663
900000000                -0.9058123183761574      0.025651231265008203
930000000                -0.8970724090377106      0.11932074438048773
960000000                -0.8786996687077693      0.21142189995249006
990000000                -0.8509270967931439      0.30096994506977187
1020000000               -0.8140879926518605      0.38701168922033136
1050000000               -0.7686118757068111      0.4686357244243293
1080000000               -0.7150193606074687      0.5449821249080915
1110000000               -0.6539160545036307      0.6152515194989915
1140000000               -0.5859855541335045      0.6787134388647191
1170000000               -0.5119816304324293      0.7347138489960081
1200000000               -0.4327196963209985      0.782681793823369
1230000000               -0.3490676606568457      0.8221350808220204
1260000000               -0.2619362769119974      0.8526849557241665
1290000000               -0.17226909915464664     0.8740397250193036
1320000000               -0.08103216087203542     0.8860072974533166
1350000000               0.010796506869525047     0.8884966286107492
1380000000               0.10223740121027128      0.8815180651575345
1410000000               0.19232000233301588      0.8651825977149186
1440000000               0.28009304504313626      0.8397000431940459
1470000000               0.3646344987256619       0.8053761887797398
1500000000               0.4450611525376855       0.7626089404386525
1530000000               0.5205377086081846       0.7118835287306873
1560000000               0.5902852929784269       0.6537668338491138
1590000000               0.6535893017666798       0.5889009000034914
1620000000               0.7098065084377286       0.5179957164821706
1650000000               0.7583713669248962       0.44182134911490634
1680000000               0.7988014547731872       0.36119951112030046
1710000000               0.830702010304017        0.2769946666080318
1740000000               0.8537695277466931       0.19010476333930915
