% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 8 2022, 14:38
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.43734558330347806      -0.8218047892225354
330000000                0.3480149990167366       -0.8608960263903745
360000000                0.2554540528638043       -0.890479075766709
390000000                0.16063306374172762      -0.9102978751982367
420000000                0.06454869220284358      -0.9201931916352475
450000000                -0.03178736766389463     -0.9201063927463276
480000000                -0.127359827866046       -0.9100815339466067
510000000                -0.2211612380208342      -0.8902659046116247
540000000                -0.31220327948975224     -0.8609091417598018
570000000                -0.39952779625262713     -0.8223610003406177
600000000                -0.48221744247755877     -0.7750678608161478
630000000                -0.5594058299817876      -0.7195680536605207
660000000                -0.6302870655368048      -0.6564860826207681
690000000                -0.6941245732842902      -0.5865258345055248
720000000                -0.7502591063954595      -0.5104628691635597
750000000                -0.7981158605694202      -0.4291358907085278
780000000                -0.837210612272807       -0.34343750795005046
810000000                -0.8671548161447886      -0.25430439809773614
840000000                -0.8876596080790254      -0.16270699345188874
870000000                -0.8985386735459046      -0.06963881477483164
900000000                -0.8997099541613738      0.023894421588670132
930000000                -0.8911961794977414      0.11688579472104738
960000000                -0.8731242250972143      0.20833813975503646
990000000                -0.8457233116348818      0.2972748515427761
1020000000               -0.8093220738019844      0.3827504075338938
1050000000               -0.7643445407505545      0.4638604909202532
1080000000               -0.7113050823577738      0.5397516011036853
1110000000               -0.6508023873972466      0.6096300457161858
1140000000               -0.5835125501661657      0.6727702174263009
1170000000               -0.5101813518669779      0.728522068032083
1200000000               -0.43161583124235703     0.7763177031712201
1230000000               -0.3486752458657124      0.8156770322930037
1260000000               -0.2622615312267387      0.8462124203326141
1290000000               -0.1733093686631353      0.8676322999631092
1320000000               -0.08277597623861653     0.8797437156680256
1350000000               0.008369262458969828     0.8824537835940895
1380000000               0.09915521637611474      0.8757700634110706
1410000000               0.18861935829024326      0.8597998506941409
1440000000               0.27581793832754276      0.8347484100042568
1470000000               0.3598358726978235       0.8009161800988238
1500000000               0.4397962454318277       0.7586949932278999
1530000000               0.5148693268716621       0.7085633603463624
1560000000               0.5842810196606335       0.6510808829767554
1590000000               0.6473206502179203       0.5868818607231107
1620000000               0.7033480322161894       0.5166681705551752
1650000000               0.7517997372108859       0.44120150026724697
1680000000               0.7921945168502248       0.36129502383623147
1710000000               0.8241378307316556       0.27780461064685813
1740000000               0.8473254438194613       0.19161966396760488
1770000000               0.8615460675423695       0.10365368620718685
1800000000               0.866683028906126        0.014834669953016395
1830000000               0.8627149624346964       -0.07390458618104095
1860000000               0.8497155302297927       -0.16163613864596246
1890000000               0.8278521859823933       -0.24744644102073032
1920000000               0.7973840093056019       -0.3304456746451067
1950000000               0.7586586470920879       -0.40977678099462855
1980000000               0.7121084084609347       -0.48462411662060945
2010000000               0.6582455684690164       -0.5542216624180301
2040000000               0.5976569418308447       -0.617860733534414
2070000000               0.5309977887143486       -0.6748971553933747
2100000000               0.45898510569260564      -0.7247578947271972
2130000000               0.3823903290769206       -0.7669471586519808
2.16E9                   0.3020314264149018       -0.801051989580095
2.19E9                   0.21876426820384937      -0.8267473665974635
2.22E9                   0.13347306674419387      -0.8438007338854148
2.25E9                   0.0470595944216429       -0.8520756637899183
2.28E9                   -0.03956902220782439     -0.8515340077028579
2.31E9                   -0.12551370518383198     -0.8422355079884545
2.34E9                   -0.20989692032225005     -0.8243337981818558
2.37E9                   -0.29187415689073815     -0.7980685206553155
2.4E9                    -0.3706410791134581      -0.763755058812634
2.43E9                   -0.4454355531557867      -0.7217751247827028
2.46E9                   -0.5155365403237275      -0.6725713990696804
2.49E9                   -0.5802637398959547      -0.6166469586663088
2.52E9                   -0.6389810585709352      -0.5545671558816982
2.55E9                   -0.6911042328757766      -0.48696043329651895
2.58E9                   -0.7361106374802153      -0.41451577576513476
2.61E9                   -0.7735488473527949      -0.33797653572188646
2.64E9                   -0.803046393535741       -0.2581316723094275
2.67E9                   -0.8243152368822848      -0.17580568976744784
2.7E9                    -0.8371551508004264      -0.09184821545809965
2.73E9                   -0.8414554183215395      -0.007123719929525454
2.76E9                   -0.8371952109806977      0.07749842304153254
2.79E9                   -0.8244429033444881      0.1611534891160643
2.82E9                   -0.8033544746109773      0.2429905700548114
2.85E9                   -0.7741710817245848      0.32218135591563785
2.88E9                   -0.7372158533710986      0.3979285174786343
2.91E9                   -0.6928899404724748      0.46947365645107886
2.94E9                   -0.6416678575219197      0.5361047776418625
2.97E9                   -0.584092153967658       0.5971632299190803
3.0E9                    -0.5207674624496818      0.6520500598338884
3.03E9                   -0.452353979107551       0.7002317227139483
3.06E9                   -0.37956043914522786     0.7412451000054167
3.09E9                   -0.3031366579896621      0.7747017777823375
3.12E9                   -0.2238657140046595      0.8002915493486569
3.15E9                   -0.14255585260101464     0.8177851140224359
3.18E9                   -0.06003219319766942     0.8270359539991905
3.21E9                   0.02287168018174377      0.8279813806683051
3.24E9                   0.10532216662911882      0.8206427500225404
3.27E9                   0.18649406062152174      0.805124852879632
3.3E9                    0.2655788592965143       0.7816144890000611
3.33E9                   0.341792898416708        0.7503782348427858
3.36E9                   0.4143852507320743       0.7117594135234452
3.39E9                   0.48264531679805156      0.6661742741012313
3.42E9                   0.545910030029978        0.6141073878954905
3.45E9                   0.6035705858474465       0.5561062747473652
3.48E9                   0.6550785910787358       0.4927752845096402
3.51E9                   0.6999515178800348       0.4247687803806243
3.54E9                   0.7377773412263263       0.35278370082658717
3.57E9                   0.7682182454295099       0.27755161325000205
3.6E9                    0.7910133070320019       0.19983040902095173
3.63E9                   0.8059800984815944       0.12039581852056931
3.66E9                   0.8130152046257653       0.040032939187083394
3.69E9                   0.81209369416842         -0.04047203388478274
3.72E9                   0.8032676330325373       -0.1203397036423032
3.75E9                   0.7866637630108443       -0.19880485036336712
3.78E9                   0.7624804988743741       -0.2751231856635042
3.81E9                   0.7309844230711964       -0.3485774145064024
3.84E9                   0.6925064756411757       -0.41848259491976275
3.87E9                   0.6474380352687007       -0.4841908585623229
3.9E9                    0.5962270487353021       -0.5450956355094697
3.93E9                   0.539374282542694        -0.6006355886888124
3.96E9                   0.47742965436579987      -0.6502984775226603
3.99E9                   0.4109884859805945       -0.6936251187687499
4.02E9                   0.3406874435122886       -0.7302135027012491
4.05E9                   0.2671999237336838       -0.759722986540157
4.08E9                   0.19123070926690994      -0.7818783675491325
4.11E9                   0.11350982870203162      -0.7964735701236316
4.14E9                   0.03478568296063145      -0.8033746790150478
4.17E9                   -0.04418239766365915     -0.8025221061046146
4.2E9                    -0.12263194301615617     -0.793931767736848
4.23E9                   -0.19980524836134084     -0.7776952450953444
4.26E9                   -0.27495719805440944     -0.7539789772384131
4.29E9                   -0.34736286721014037     -0.7230225803663817
4.32E9                   -0.4163248198910008      -0.685136394952256
4.35E9                   -0.4811800659058724      -0.640698342713458
4.38E9                   -0.5413066569284521      -0.5901501433318027
4.41E9                   -0.5961298974424855      -0.5339929122143516
4.44E9                   -0.6451281256606036      -0.47278214647268446
4.47E9                   -0.6878379956283895      -0.40712211020545264
4.5E9                    -0.7238591740358634      -0.337659649017012
4.53E9                   -0.7528583593098093      -0.2650774911944319
4.56E9                   -0.7745725379701055      -0.19008712236667538
4.59E9                   -0.7888114131244661      -0.11342134612913204
4.62E9                   -0.7954589700894923      -0.035826660041108
4.65E9                   -0.7944741804373996      0.04194441986049857
4.68E9                   -0.7858908815455292      0.11914096550170661
4.71E9                   -0.7698168947632242      0.19502108205270793
4.74E9                   -0.7464324526346069      0.2688591371191985
4.77E9                   -0.71598799049507        0.3399527523188073
4.8E9                    -0.6788013258183669      0.4076295511250638
4.83E9                   -0.6352542143228107      0.4712536463969812
4.86E9                   -0.5857882523302813      0.5302318175525683
4.89E9                   -0.5309001016581976      0.5840192846861568
4.92E9                   -0.47113604736870296     0.6321249521881591
