% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 8 2022, 14:43
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.45821518781333154      -0.84235600083234
330000000                0.3664942283133694       -0.8844498850271144
360000000                0.27111454604483803      -0.9166712736673269
390000000                0.1731132984183036       -0.9387185507751123
420000000                0.07355418973322543      -0.9503964642610552
450000000                -0.026483903160306       -0.951619133191171
480000000                -0.12591859552697357     -0.9424116559068086
510000000                -0.2236757848337817      -0.9229103303378943
540000000                -0.31870140666576524     -0.893361509721672
570000000                -0.409973003092162       -0.8541191281960068
600000000                -0.4965109559642653      -0.8056409422805162
630000000                -0.5773892460563114      -0.7484835462306998
660000000                -0.6517456069847676      -0.6832962308180414
690000000                -0.7187909513596462      -0.6108137670138781
720000000                -0.7778179575796419      -0.5318482068568283
750000000                -0.8282087164038665      -0.447279804233363
780000000                -0.8694413484462324      -0.3580471680074313
810000000                -0.9010955173690238      -0.2651367676063467
840000000                -0.9228567769925295      -0.169571918851194
870000000                -0.9345197056864634      -0.07240138222216796
900000000                -0.9359897961658687      0.0253122893938728
930000000                -0.9272840846302238      0.12250451546439473
960000000                -0.908530518593244       0.21812042601857473
990000000                -0.8799660782226031      0.3111264360076751
1020000000               -0.8419336812416008      0.40052152195897106
1050000000               -0.7948779158532373      0.48534807168043975
1080000000               -0.7393396600516985      0.5647021845256985
1110000000               -0.6759496584682291      0.63774330775962
1140000000               -0.6054211396255653      0.7037031038685219
1170000000               -0.5285415669667767      0.7618934542741223
1200000000               -0.4461636259743662      0.8117135166016299
1230000000               -0.3591955574152322      0.8526557648422971
1260000000               -0.268590952679273       0.8843109549694053
1290000000               -0.17533813164684986     0.9063719718962834
1320000000               -0.080449226518925       0.9186365273354652
1350000000               0.01505090395689166      0.9210086918896554
1380000000               0.11013580526661144      0.9134992581168023
1410000000               0.20378848026566454      0.8962249446199609
1440000000               0.29501224509618906      0.8694064639289302
1470000000               0.38284127243935373      0.8333654890628512
1500000000               0.46635071241978054      0.7885205650642471
1530000000               0.5446662879840236       0.7353820223523843
1560000000               0.6169732689438888       0.6745459584528999
1590000000               0.6825247374812243       0.606687363286753
1620000000               0.7406490667640455       0.532552470868738
1650000000               0.7907565438976871       0.45295042698861887
1680000000               0.8323450787031164       0.36874436784123765
1710000000               0.8650049500963419       0.2808420091551637
1740000000               0.8884225526986601       0.19018584863272095
1770000000               0.902383117125136        0.0977430870512365
1800000000               0.9067723887207351       0.004495374049637938
1830000000               0.90157726043403         -0.08857151470501246
1860000000               0.8868853670025377       -0.18047796414195744
1890000000               0.862883658735531        -0.2702606674090979
1920000000               0.8298559844031388       -0.35698253616699316
1950000000               0.7881797237132713       -0.4397422811116143
1980000000               0.7383215201252796       -0.517683579018063
2010000000               0.6808321738284043       -0.5900037540836609
2040000000               0.6163407606934282       -0.6559619175906657
2070000000               0.5455480434041388       -0.7148865303363183
2100000000               0.46921923031821733      -0.766182377771895
2130000000               0.38817610827478455      -0.8093369735789153
2.16E9                   0.3032885170991447       -0.8439264226903266
2.19E9                   0.21546503878174514      -0.8696207527757859
2.22E9                   0.1256426548649138       -0.8861886167339199
2.25E9                   0.034775044070961235     -0.8935010171761271
2.28E9                   -0.05618069691173347     -0.8915332857599435
2.31E9                   -0.14627859173887928     -0.8803641100326104
2.34E9                   -0.2345981897881993      -0.8601703922323729
2.37E9                   -0.3202562625444732      -0.8312177911108768
2.4E9                    -0.4024131290068893      -0.7938490319518238
2.43E9                   -0.48027307866166685     -0.7484740858931502
2.46E9                   -0.5530818911324498      -0.6955658365128836
2.49E9                   -0.6201264021239707      -0.6356613808088244
2.52E9                   -0.6807393881841363      -0.5693653994050204
2.55E9                   -0.7343093147785975      -0.4973512220288749
2.58E9                   -0.7802919821058636      -0.4203573248822002
2.61E9                   -0.8182211183380841      -0.33917959997361613
2.64E9                   -0.8477163975032362      -0.25466102860488915
2.67E9                   -0.8684886987983014      -0.16768034201578932
2.7E9                    -0.8803430758803007      -0.07914064948326807
2.73E9                   -0.8831800050998804      0.010041542416547413
2.76E9                   -0.876995343285468       0.09894681684799958
2.79E9                   -0.8618792553047325      0.18666286259121567
2.82E9                   -0.8380142474071834      0.2722940595175129
2.85E9                   -0.8056723722890745      0.35497065190032684
2.88E9                   -0.7652116408971884      0.43385749800239365
2.91E9                   -0.717071668049547       0.5081623603519778
2.94E9                   -0.6617685825937989      0.5771436856272453
2.97E9                   -0.5998892414116326      0.6401178151780966
3.0E9                    -0.5320847967406676      0.6964655649644883
3.03E9                   -0.4590636761804205      0.7456381158717276
3.06E9                   -0.3815840437264892      0.7871621604028309
3.09E9                   -0.300445817691951       0.8206442591855501
3.12E9                   -0.21648232708260925     0.8457743698051529
3.15E9                   -0.1305516915716         0.862328520653395
3.18E9                   -0.04352801140514089     0.8701706130615968
3.21E9                   0.04370754784417592      0.8692533450639583
3.24E9                   0.13027569431044325      0.8596182586714767
3.27E9                   0.2153078964812865       0.8413949185654511
3.3E9                    0.29795514640168647      0.8147992329399033
3.33E9                   0.37739653209875357      0.7801309269355545
3.36E9                   0.45284755226397383      0.7377701764430622
3.39E9                   0.5235681017697147       0.688173406787962
3.42E9                   0.5888700466626585       0.6318682594449827
3.45E9                   0.6481242920939885       0.5694477336441758
3.48E9                   0.7007672281654383       0.5015635219068914
3.51E9                   0.7463064208756269       0.42891858205248323
3.54E9                   0.7843254041050582       0.352259024109041
3.57E9                   0.8144874310793633       0.27236543640500827
3.6E9                    0.8365380657944705       0.1900438246321307
3.63E9                   0.8503065387143803       0.10611638049424431
3.66E9                   0.8557058524834859       0.02141232267391481
3.69E9                   0.8527316934664786       -0.06324094465780546
3.72E9                   0.8414602731563093       -0.14702613196763117
3.75E9                   0.8220452831125155       -0.22914364057684905
3.78E9                   0.7947141957646018       -0.3088182904789623
3.81E9                   0.7597641785512853       -0.38530515150610295
3.84E9                   0.717557900427736        -0.45789452713551015
3.87E9                   0.6685194790843458       -0.5259162529885661
3.9E9                    0.6131307274302196       -0.5887435760256648
3.93E9                   0.5519277112759149       -0.645796936284083
3.96E9                   0.48549745903533226      -0.6965479451856199
3.99E9                   0.4144745232550614       -0.7405237343752096
4.02E9                   0.33953703473675834      -0.7773116668897788
4.05E9                   0.261401935549992        -0.806564215814794
4.08E9                   0.18081920949873373      -0.82800368320174
4.11E9                   0.09856510086014669      -0.8414263877803038
4.14E9                   0.015434471206118872     -0.846705993905027
4.17E9                   -0.06776744877627934     -0.8437957590994101
4.2E9                    -0.15023361570129        -0.8327296053010486
4.23E9                   -0.23116376283725498     -0.8136220343635703
4.26E9                   -0.30977280978269833     -0.786666987779544
4.29E9                   -0.3852989584732647      -0.7521357844304264
4.32E9                   -0.4570114114935872      -0.7103742624550741
4.35E9                   -0.5242176933759936      -0.6617992164731361
4.38E9                   -0.5862705686264997      -0.6068941787028628
4.41E9                   -0.6425745369089274      -0.5462045593095185
4.44E9                   -0.6925918580984801      -0.480332147884125
4.47E9                   -0.7358480314937563      -0.4099289855497106
4.5E9                    -0.7719366342725491      -0.33569064078538013
4.53E9                   -0.8005234193397991      -0.2583489536774158
4.56E9                   -0.8213495825714742      -0.17866434586679497
4.59E9                   -0.8342341329253715      -0.09741782092645883
4.62E9                   -0.8390753332359954      -0.01540279721888
4.65E9                   -0.8358512203694339      0.06658308265339224
4.68E9                   -0.8246192529010377      0.14774603849811438
4.71E9                   -0.8055151616570528      0.22730404275404623
4.74E9                   -0.7787510827202125      0.30449446580242767
4.77E9                   -0.7446130299058729      0.37858146565715467
4.8E9                    -0.7034577218282158      0.4488631256528713
