% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 23 2022, 20:22
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.40434999032976954      -0.7701526083862995
330000000                0.32100150285508317      -0.8057039996096598
360000000                0.23474904524047951      -0.8324652887658301
390000000                0.14648781292531138      -0.8501957634290602
420000000                0.05713837892337157      -0.8587488583052955
450000000                -0.03236497424811304     -0.8580740961658329
480000000                -0.12108548818050302     -0.8482178510210455
510000000                -0.2080948160605984      -0.8293229613065087
540000000                -0.2924835695855576      -0.8016272226215051
570000000                -0.37337148578929846     -0.7654607947270523
600000000                -0.4499171501794572      -0.7212425648202051
630000000                -0.5213272002539194      -0.6694755175466656
660000000                -0.58686492863878        -0.6107411711798623
690000000                -0.6458582048967572      -0.5456931486315674
720000000                -0.6977066387960585      -0.4750499604952815
750000000                -0.7418879131101223      -0.39958708595244397
780000000                -0.7779632223120942      -0.32012844438381516
810000000                -0.8055817620824627      -0.2375373575885439
840000000                -0.8244842253614035      -0.15270710729791506
870000000                -0.8345052713308887      -0.0665511973868581
900000000                -0.8355749457285522      0.020006567390644683
930000000                -0.8277190427897051      0.106042072507391
960000000                -0.8110584114711868      0.190640841215291
990000000                -0.7858072207483063      0.2729078262858602
1020000000               -0.752270210787592       0.3519769364396691
1050000000               -0.7108389683408025      0.4270201921440559
1080000000               -0.6619872756971047      0.4972564107064734
1110000000               -0.6062655927746906      0.5619593271319374
1140000000               -0.5442947412806344      0.6204650648596086
1170000000               -0.47675886838694326     0.6721788788710452
1200000000               -0.4043977744149172      0.7165811033146037
1230000000               -0.32799869550690836     0.753232245399548
1260000000               -0.24838763694587868     0.7817771781461071
1290000000               -0.1664203565718607      0.8019483952986228
1320000000               -0.08297310019354445     0.8135683027973093
1350000000               0.0010668078942302373    0.8165505323197174
1380000000               0.08481041628307473      0.8109002734788817
1410000000               0.1673765378267035       0.7967136320081258
1440000000               0.24790098141507128      0.7741760317753068
1470000000               0.32554552809393744      0.7435596884495815
1500000000               0.39950655950838226      0.7052201921056463
1530000000               0.46902325214949486      0.6595922448605931
1560000000               0.5333852566668121       0.6071846077570058
1590000000               0.5919397883410316       0.5485743184365669
1620000000               0.6440980620419396       0.4844002476989901
1650000000               0.6893410128219242       0.41535606874511793
1680000000               0.7272242516002415       0.34218271768702796
1710000000               0.7573822138898589       0.26566042791547156
1740000000               0.7795314684776593       0.18660042391301057
1770000000               0.7934731620005704       0.10583636222757985
1800000000               0.7990945846110429       0.02421560853862542
1830000000               0.7963698512385009       -0.057409560097231575
1860000000               0.785359702356304        -0.13819073956710834
1890000000               0.7662104374733701       -0.21729208332502423
1920000000               0.7391520038332033       -0.2938988044896339
1950000000               0.7044952716620806       -0.3672254174871481
1980000000               0.6626285355264336       -0.436523648357932
2010000000               0.6140132881108553       -0.5010899522975188
2040000000               0.5591793167284881       -0.5602725894355126
2070000000               0.4987191717272028       -0.6134782254224265
2100000000               0.43328204579960944      -0.6601780410158707
2130000000               0.363567078644498        -0.6999133503862431
2.16E9                   0.2903160564379295       -0.7323007313598124
2.19E9                   0.21430540887611454      -0.7570366414795111
2.22E9                   0.1363373334729916       -0.7739013990906076
2.25E9                   0.05722985092468296      -0.7827622142698911
2.28E9                   -0.022194271709164506    -0.7835746664891231
2.31E9                   -0.10111936034488256     -0.776381774771131
2.34E9                   -0.17874830929643332     -0.7613099144728129
2.37E9                   -0.25431184426762304     -0.7385616865933544
2.4E9                    -0.3270738436365198      -0.7084073860433281
2.43E9                   -0.39633256890306995     -0.6711779488416849
2.46E9                   -0.4614200197872138      -0.6272617587165641
2.49E9                   -0.5217028331115618      -0.5771052865460963
2.52E9                   -0.5765869492680548      -0.5212150517943662
2.55E9                   -0.6255257319289784      -0.4601578461004116
2.58E9                   -0.6680294701964677      -0.39455757318829743
2.61E9                   -0.7036741285338822      -0.3250888725353898
2.64E9                   -0.7321081661948506      -0.25246866624458314
2.67E9                   -0.753057213338983       -0.17744680216223246
2.7E9                    -0.7663269038621017      -0.1007965645536047
2.73E9                   -0.7718042765447359      -0.02330541637281687
2.76E9                   -0.7694580743387585      0.05423391536465963
2.79E9                   -0.7593381501767809      0.13103200779852936
2.82E9                   -0.7415740926943712      0.20631098425177719
2.85E9                   -0.716373128706493       0.27931243751231194
2.88E9                   -0.6840173328204397      0.34930502055740925
2.91E9                   -0.6448601667873342      0.41559167219826754
2.94E9                   -0.5993223733401443      0.4775164325440428
2.97E9                   -0.5478872561156803      0.534470796162516
3.0E9                    -0.4910953855430942      0.5858995488785167
3.03E9                   -0.42953877921563727     0.6313060352431612
3.06E9                   -0.3638546130376485      0.6702568078553731
3.09E9                   -0.29471852618769917     0.7023856156197662
3.12E9                   -0.2228375881812113      0.7273966954974186
3.15E9                   -0.14894299987837645     0.7450673406712283
3.18E9                   -0.07378260175080786     0.7552497268480164
3.21E9                   0.0018867376347838417    0.7578719867334158
3.24E9                   0.07730678219186374      0.7529385299118689
3.27E9                   0.15172557028427375      0.7405296106077639
3.3E9                    0.2244049734951995       0.7208001488536504
3.33E9                   0.2946281092700815       0.6939778116077634
3.36E9                   0.36170654366051225      0.6603603602553447
3.39E9                   0.4249872161999438       0.6203122711697552
3.42E9                   0.4838590114769812       0.5742606385669997
3.45E9                   0.5377588918913999       0.5226903758566619
3.48E9                   0.5861774956833312       0.46613874495232893
3.51E9                   0.6286640965062728       0.40518926363363583
3.54E9                   0.6648308199351715       0.34046506832520484
3.57E9                   0.6943560220917455       0.2726218407003268
3.6E9                    0.7169867584644678       0.20234043585937364
3.63E9                   0.7325403059591257       0.13031937084033826
3.66E9                   0.7409047432914595       0.05726733966337602
3.69E9                   0.7420386369100783       -0.016104086735791497
3.72E9                   0.7359699154659947       -0.08908743727853
3.75E9                   0.7227940435230462       -0.16098588274252001
3.78E9                   0.7026716268702722       -0.23111926244063508
3.81E9                   0.6758255996306023       -0.298829552238692
3.84E9                   0.642538153665944        -0.36348577920909836
3.87E9                   0.6031475623821386       -0.42448844927262813
3.9E9                    0.5580450108020382       -0.4812736172428915
3.93E9                   0.507671467523746        -0.5333167718395959
3.96E9                   0.4525145354669198       -0.5801367074386565
3.99E9                   0.3931051265693018       -0.6212994981563325
4.02E9                   0.3300137541230839       -0.6564225886375579
4.05E9                   0.2638462458245558       -0.6851788997500856
4.08E9                   0.19523874864195837      -0.7073007530123805
4.11E9                   0.12485200059971185      -0.7225833720569375
4.14E9                   0.053364952066314156     -0.7308877310699189
4.17E9                   -0.018532098582254974    -0.7321425783555126
4.2E9                    -0.09014464917243288     -0.7263455457037489
4.23E9                   -0.1607812147215789      -0.7135633366072536
4.26E9                   -0.22976045803388276     -0.693931048741313
4.29E9                   -0.2964181151515792      -0.6676507179062834
4.32E9                   -0.3601136512432375      -0.6349891717078004
4.35E9                   -0.4202366169273886      -0.5962752604441923
4.38E9                   -0.4762126868462959      -0.5518965040214535
4.41E9                   -0.5275093544107724      -0.5022951705086811
4.44E9                   -0.573641237244885       -0.44796379284947
4.47E9                   -0.6141749275832507      -0.38944013677133177
4.5E9                    -0.6487333083836404      -0.3273016516842733
4.53E9                   -0.6769992535051714      -0.2621594611882887
4.56E9                   -0.6987186394790724      -0.19465197493934258
4.59E9                   -0.713702615899487       -0.12543822425013304
4.62E9                   -0.7218291088142226      -0.0551910360314954
4.65E9                   -0.7230435628678548      0.015409840009972997
4.68E9                   -0.7173589572639882      0.08568454946201357
4.71E9                   -0.704855150176511       0.15495982104065142
4.74E9                   -0.685677609101726       0.22257548018630807
4.77E9                   -0.660035568927273       0.2878907704813664
4.8E9                    -0.6281996313763827      0.3502904741847259
4.83E9                   -0.5904987919720954      0.4091908101930165
4.86E9                   -0.5473168680928606      0.46404505686092334
4.89E9                   -0.49908831240604734     0.514348811086112
4.92E9                   -0.44629342901417046     0.5596447685313812
4.95E9                   -0.38945305574204014     0.5995269038487495
4.98E9                   -0.32912282256480446     0.6336439477476407
5.01E9                   -0.2658871315714361      0.6617020969224353
5.04E9                   -0.20035301922653526     0.6834669460871403
5.07E9                   -0.13314405167247276     0.6987646885189794
5.1E9                    -0.0648943670748544      0.7074826799266317
5.13E9                   0.0037570791237900637    0.7095694858683806
5.16E9                   0.0721720753904748       0.7050345235335944
5.19E9                   0.13971858084678637      0.6939473624371323
5.22E9                   0.20577608834169397      0.6764366795934119
5.25E9                   0.26974095811206134      0.65268880239922
5.28E9                   0.33103168508130276      0.622945749004048
5.31E9                   0.38909399133292394      0.5875027072283115
5.34E9                   0.4434056013840145       0.5467049663668374
5.37E9                   0.49348058029217995      0.5009443953362762
5.4E9                    0.5388731822337789       0.45065560699044993
5.43E9                   0.5791812367892615       0.3963119426052648
5.46E9                   0.6140491571075466       0.3384213596464172
5.49E9                   0.6431706688664005       0.2775222352449846
5.52E9                   0.6662913320660607       0.2141790352247794
5.55E9                   0.6832108736781465       0.1489777626622711
5.58E9                   0.693785286346834        0.08252109738911323
5.61E9                   0.6979285924479705       0.015423166139467558
5.64E9                   0.6956141354053245       -0.05169606436576162
5.67E9                   0.6868752504234259       -0.11821671103614453
5.7E9                    0.6718051922488159       -0.183525084022234
5.73E9                   0.6505562599298994       -0.24701979835781335
5.76E9                   0.6233381460670465       -0.30811769041408854
5.79E9                   0.590415622007294        -0.3662593817866595
5.82E9                   0.5521057149210057       -0.4209144159719557
5.85E9                   0.5087745168705208       -0.471585982788413
5.88E9                   0.46083370061358053      -0.5178153000531437
5.91E9                   0.40873673943792355      -0.5591857197689616
5.94E9                   0.3529747776251144       -0.5953265779860385
5.97E9                   0.29407209200542045      -0.6259167446523659
6.0E9                    0.23258111584852248      -0.6506877815369579
