% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 23 2022, 20:24
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.40511494451614305      -0.7707729366688721
330000000                0.32170867296254624      -0.8064170989957365
360000000                0.23538662614378758      -0.8332639895066105
390000000                0.14704517195732444      -0.8510716646050007
420000000                0.05760610674981681      -0.8596924710208385
450000000                -0.03199500920450014     -0.8590749857218211
480000000                -0.12082008701511189     -0.8492647807864128
510000000                -0.20793940239861242     -0.8304040395441208
540000000                -0.29244215123647116     -0.8027300525004755
570000000                -0.37344662709657234     -0.7665726271510268
600000000                -0.45010995683574206     -0.7223504531876932
630000000                -0.5216373175899566      -0.6705664733188819
660000000                -0.587290554207854       -0.6118023188913628
690000000                -0.6463961157452143      -0.54671187887405
720000000                -0.6983522335433712      -0.47601407932488754
750000000                -0.7426352687232598      -0.4004849591139279
780000000                -0.7788051651282825      -0.3209491348269529
810000000                -0.8065099524829975      -0.23827075476566076
840000000                -0.8254892553002048      -0.15334404670193694
870000000                -0.8355767736470766      -0.06708356911496775
900000000                -0.8367017141028518      0.01958572236021548
930000000                -0.8288891610043893      0.10573847939689825
960000000                -0.8122593905179546      0.1904589228373026
990000000                -0.7870261422301787      0.2728506494335099
1020000000               -0.7534938749704962      0.3520461739565851
1050000000               -0.7120540451628968      0.42721610100401475
1080000000               -0.6631804570049535      0.49757782633185976
1110000000               -0.6074237440479461      0.5624036739465178
1140000000               -0.5454050511206423      0.6210283829058111
1170000000               -0.47780899404707        0.6728558661459834
1200000000               -0.4053759817969975      0.7173651732063963
1230000000               -0.32889399198975666     0.7541155985805021
1260000000               -0.24918989563203395     0.7827508879825027
1290000000               -0.1671204305741478      0.8030025057682562
1320000000               -0.08356292575339702     0.8146919377392353
1350000000               5.941205968282404E-4     0.8177320147465432
1380000000               0.08446050550347764      0.8121272535504995
1410000000               0.16715372663718586      0.797973222213442
1440000000               0.24780822874118993      0.7754549477834917
1470000000               0.3255843947774684       0.7448443940602048
