% Model:              cali 5.44 1.83mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jul 10 2022, 21:33
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.2508158500151906       -0.6978870007188451
330000000                0.17003053789217706      -0.7177919519986967
360000000                0.08816839936596797      -0.7288505456625631
390000000                0.006138795258910257     -0.7310263761531401
420000000                -0.07514122824009384     -0.7243836784794105
450000000                -0.154761548418894       -0.7090873799180399
480000000                -0.23183323931878716     -0.685401908611615
510000000                -0.305503146245702       -0.6536873123716074
540000000                -0.3749665692026152      -0.6143909859576399
570000000                -0.4394742128536298      -0.5680378170491799
600000000                -0.4983359401147235      -0.5152247722178722
630000000                -0.5509283465871736      -0.45661827873248956
660000000                -0.5967057520664095      -0.39294778919724654
690000000                -0.635209591037863       -0.32499437871950326
720000000                -0.6660738062284083      -0.2535767417519299
750000000                -0.6890254968624637      -0.1795367489640496
780000000                -0.703880744372175       -0.10372754458186949
810000000                -0.710538701877327       -0.027007616690363452
840000000                -0.708980173989348       0.049760111034250966
870000000                -0.6992730764020546      0.12571128247307822
900000000                -0.6815791049475362      0.19999065932107793
930000000                -0.6561546979858143      0.2717678156487245
960000000                -0.6233449201256364      0.3402519026152852
990000000                -0.5835735201721806      0.4047014369292198
1020000000               -0.537333803412365       0.46442886967336916
1050000000               -0.4851832769467221      0.51880329326411
1080000000               -0.42774090649643504     0.5672554306876405
1110000000               -0.3656831937694439      0.6092859243792872
1140000000               -0.2997366053776149      0.6444747170531566
1170000000               -0.23066640055456533     0.6724889753390555
1200000000               -0.1592629573044464      0.6930880880869434
1230000000               -0.08632678323850573     0.7061248946571826
1260000000               -0.0126536671730344      0.7115424848544999
1290000000               0.060977864088438596     0.7093664008659265
1320000000               0.13381397478700682      0.6996936176270411
1350000000               0.2051260869340702       0.6826823287689203
1380000000               0.2742069710082122       0.6585477140745941
1410000000               0.34036893439647004      0.627565019761372
1440000000               0.40294903519667713      0.5900747954004406
1470000000               0.4613193094471715       0.5464837080578552
1500000000               0.5148960228478066       0.497259923213697
1530000000               0.5631452443465766       0.44292725040058256
1560000000               0.6055872224751639       0.38406116515659344
1590000000               0.6418025910126396       0.3212853842837993
1620000000               0.6714400307944015       0.2552660575605496
1650000000               0.6942227866778872       0.18670288377507654
1680000000               0.7099525111564398       0.11631884437518002
1710000000               0.718511013172557        0.04485015223086475
1740000000               0.7198609930031534       -0.026963593810153133
1770000000               0.7140456829260359       -0.09838985466415212
1800000000               0.7011862696547898       -0.16871419506705185
1830000000               0.6814762898004272       -0.23725060102402842
1860000000               0.6551735565152996       -0.3033492858137321
1890000000               0.6225914270092527       -0.36640106279131057
1920000000               0.5840913168803148       -0.42583892160580983
1950000000               0.5400772062133704       -0.48113843102118214
1980000000               0.49099155533975375      -0.5318182119945137
2010000000               0.4373118030392874       -0.5774405994993809
2040000000               0.37954740791359964      -0.6176121298751984
2070000000               0.31823794303289504      -0.6519841180711075
2100000000               0.25395220810482616      -0.6802543354111588
2130000000               0.18728728916756676      -0.7021705566197336
2.16E9                   0.11886616031390727      -0.7175356745018192
2.19E9                   0.04933306014016914      -0.7262132406762539
2.22E9                   -0.02065325450561737     -0.7281322564253367
2.25E9                   -0.0904278208154441      -0.7232904537738001
2.28E9                   -0.1593286919794249      -0.7117556606703846
2.31E9                   -0.22670636277983683     -0.6936650928292938
2.34E9                   -0.29193269978943637     -0.6692227285860067
2.37E9                   -0.35440891263961644     -0.6386952158041854
2.4E9                    -0.4135724763762461      -0.602406770636787
2.43E9                   -0.4689030845928044      -0.5607332497871834
2.46E9                   -0.5199275143514582      -0.5140953579150084
2.49E9                   -0.5662229721719448      -0.4629511101316265
2.52E9                   -0.6074184828468792      -0.40778812772136075
2.55E9                   -0.6431943253069168      -0.3491166980588061
2.58E9                   -0.673280155637471       -0.2874644348194679
2.61E9                   -0.6974528722221134      -0.22337283604032254
2.64E9                   -0.7155352280443575      -0.15739536124573264
2.67E9                   -0.7273957426730587      -0.09009619070856673
2.7E9                    -0.7329498857950058      -0.022048770229463686
2.73E9                   -0.7321620826412474      0.046166481509170125
2.76E9                   -0.7250479610327887      0.11396554231193996
2.79E9                   -0.7116763524186753      0.1807651882297174
2.82E9                   -0.6921707098936816      0.2459882642494265
2.85E9                   -0.6667097022344852      0.30906963464999015
2.88E9                   -0.6355267843688062      0.3694625976119669
2.91E9                   -0.5989085872179557      0.426645492597946
2.94E9                   -0.5571920502816716      0.4801281692426529
2.97E9                   -0.5107603358336522      0.5294579590369902
3.0E9                    -0.4600376900887526      0.5742248149550532
3.03E9                   -0.4054835256874985      0.6140653597203815
3.06E9                   -0.34758606893283794     0.6486656947346545
3.09E9                   -0.2868559373164322      0.6777629450243325
3.12E9                   -0.2238199952495027      0.7011456338788877
3.15E9                   -0.15901578545267797     0.7186530902378406
3.18E9                   -0.0929867451492445      0.7301741886601224
3.21E9                   -0.0262782829855313      0.7356457858507655
3.24E9                   0.040565372011541714     0.7350512162380538
3.27E9                   0.10700379079311109      0.7284191220567321
3.3E9                    0.172502763607082        0.7158227378184536
3.33E9                   0.2365368423961911       0.6973795759140083
3.36E9                   0.2985922435200994       0.6732513257327346
3.39E9                   0.3581702221514226       0.643643714408197
3.42E9                   0.414790909980354        0.6088060795323683
3.45E9                   0.4679975200057051       0.5690304472135174
3.48E9                   0.5173607680815521       0.5246499658192729
3.51E9                   0.562483329429335        0.47603660262604014
3.54E9                   0.6030041294587047       0.4235980668218141
3.57E9                   0.6386022604085323       0.3677739826614705
3.6E9                    0.6690003243055135       0.3090314022848201
