% Model:              three_layers detection height.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jul 11 2022, 21:48
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.06717799055016833      -0.6753494512202337
330000000                -0.02280790945060627     -0.6750212757391179
360000000                -0.11126965439495216     -0.6634870943678157
390000000                -0.19689158249940172     -0.641081173363679
420000000                -0.2784061864545661      -0.6083084005914574
450000000                -0.3546320939885373      -0.5658277315446748
480000000                -0.424487655747625       -0.5144171236755622
510000000                -0.4869774754590501      -0.4549676989566628
540000000                -0.5412183196617578      -0.38850286416821467
570000000                -0.5864866644845459      -0.3161485680399885
600000000                -0.6222172810710824      -0.2390808947592567
630000000                -0.6479782022297252      -0.15851440551797752
660000000                -0.6634792518029167      -0.07571330149143939
690000000                -0.6686062707977474      0.008032025739666876
720000000                -0.6634135006315818      0.09146109827877054
750000000                -0.6480809807982327      0.1733505448947987
780000000                -0.6229255845007743      0.2524943958174764
810000000                -0.5884270893981508      0.32774112800326827
840000000                -0.5451967007472333      0.3980406162877412
870000000                -0.49393411267065473     0.46243567498909893
900000000                -0.43543778947383        0.5200417405545307
930000000                -0.3706239326691611      0.5700819064942909
960000000                -0.3004843549992071      0.6119279672801283
990000000                -0.22603943040241017     0.6450771965893648
1020000000               -0.14835261385291112     0.669127324371819
1050000000               -0.06854121914380436     0.6838083713447115
1080000000               0.012267547961665671     0.6890076983902238
1110000000               0.0929751944851443       0.684740940301388
1140000000               0.17249892543720496      0.6711272204098478
1170000000               0.24976626122195641      0.648412426974646
1200000000               0.3237559117420755       0.6169799374646513
1230000000               0.39352444144398135      0.5773161827397301
1260000000               0.45819131248175665      0.5299894992009756
1290000000               0.5169377812530442       0.4756655084451876
1320000000               0.5690396376077625       0.4151063111294801
1350000000               0.6138829825780114       0.34913581124585824
1380000000               0.6509473774581885       0.2786206328865386
1410000000               0.6798042027412493       0.20447959812930439
1440000000               0.7001398980157522       0.1276763226175446
1470000000               0.7117616043102188       0.049188037111664445
1500000000               0.7145799543953313       -0.030010011099486717
1530000000               0.708605340162314        -0.1089403820978931
1560000000               0.6939606189632699       -0.18663309395123154
1590000000               0.6708790146835839       -0.2621506691231986
1620000000               0.6396867980698737       -0.33459958856164035
1650000000               0.6007972343834567       -0.4031286132232837
1680000000               0.5547145302069499       -0.4669378264419237
1710000000               0.5020262495403616       -0.5252964490831906
1740000000               0.4433864625239705       -0.5775497758315055
1770000000               0.37950754320039837      -0.6231175395106275
1800000000               0.3111581732468805       -0.6614998418718708
1830000000               0.23915305732827488      -0.6922879052413246
1860000000               0.16433725082525205      -0.7151665421319446
1890000000               0.0875768720252065       -0.7299110901430539
1920000000               0.00975366457026663      -0.736389180787955
1950000000               -0.06824568334227853     -0.7345648558262489
1980000000               -0.14554300604340753     -0.7244968965571639
2010000000               -0.22127759133934158     -0.7063336099428272
2040000000               -0.29461254709134677     -0.6803104871336014
2070000000               -0.36474411042166227     -0.6467488704352131
2100000000               -0.43091206016479283     -0.6060507938165531
2130000000               -0.49240688247194025     -0.5586916599623524
2.16E9                   -0.5485750601358056      -0.5052145624582663
2.19E9                   -0.598825688202379       -0.44622504864848334
2.22E9                   -0.6426372310192762      -0.38238357023042374
2.25E9                   -0.6795619275053532      -0.3143967067228287
2.28E9                   -0.7092286887289327      -0.24300936353902644
2.31E9                   -0.7313462830200939      -0.16899727303650747
2.34E9                   -0.7457061393941834      -0.09315832936295347
2.37E9                   -0.7521834309583838      -0.016303410144339222
2.4E9                    -0.750736927364997       0.060752086475407065
2.43E9                   -0.741408603512914       0.137196319472878
2.46E9                   -0.7243226698180175      0.21222944491712542
2.49E9                   -0.6996833462756857      0.28507203572754664
2.52E9                   -0.6677716739233786      0.3549728067472523
2.55E9                   -0.6289419138465148      0.421215794535188
2.58E9                   -0.5836173939294892      0.4831273583367229
2.61E9                   -0.5322854880350264      0.5400827831693681
2.64E9                   -0.475491918222848       0.5915121160381228
2.67E9                   -0.4138347099306346      0.6369052956974686
2.7E9                    -0.34795777809067874     0.6758167600978048
2.73E9                   -0.278544023840139       0.7078694248905373
2.76E9                   -0.2063080720474864      0.7327578460119855
2.79E9                   -0.13198885675340807     0.7502505930161688
2.82E9                   -0.05634209122892724     0.7601919315998688
2.85E9                   0.019867395496101815     0.7625027791915372
2.88E9                   0.09587335724304485      0.757180857670922
2.91E9                   0.17091572737933644      0.744300070519301
2.94E9                   0.2442480572385252       0.7240091716772673
2.97E9                   0.31514476957605847      0.6965297349096398
3.0E9                    0.38290814918012067      0.6621534162783373
3.03E9                   0.44687497739250426      0.6212385534810201
3.06E9                   0.5064227590483666       0.5742061676260724
3.09E9                   0.5609755090630838       0.5215354067949894
3.12E9                   0.6100090450666311       0.46375846276631755
3.15E9                   0.6530557266694488       0.4014550172991167
3.18E9                   0.6897086043142316       0.33524628747453533
3.21E9                   0.7196249545358641       0.265788729174328
3.24E9                   0.7425291736127889       0.19376745351406366
3.27E9                   0.7582150020844574       0.11988942181723494
3.3E9                    0.7665470661237521       0.04487649102645579
3.33E9                   0.7674617325529312       -0.030541623437604828
3.36E9                   0.7609672765113935       -0.10563440402405122
3.39E9                   0.7471433642176919       -0.17967754060661192
3.42E9                   0.7261398619593955       -0.2519598262410357
3.45E9                   0.6981749901591968       -0.32178987583914126
3.48E9                   0.6635328453898659       -0.38850260808948006
3.51E9                   0.6225603176053206       -0.4514654321258997
3.54E9                   0.5756634364268909       -0.5100840825875731
3.57E9                   0.5233031863063701       -0.5638080514313889
3.6E9                    0.46599083425233023      -0.6121355699561386
3.63E9                   0.404282817180485        -0.6546180986444244
3.66E9                   0.33877523982931257      -0.6908642868494739
3.69E9                   0.2700980376529728       -0.7205433698119144
