% Model:              cali 10 3mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jul 11 2022, 21:22
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.3661224551315673       -0.8819779340120747
330000000                0.25984765258641984      -0.909993919883362
360000000                0.1524822657951221       -0.9248359293096509
390000000                0.04568140093378368      -0.9267080450967052
420000000                -0.05895284399509393     -0.9160564287762591
450000000                -0.15994906864881653     -0.8935329804799466
480000000                -0.2559846280201293      -0.8599585226869486
510000000                -0.34591136851356963     -0.816292748053662
540000000                -0.4287618622651492      -0.7635781534263795
570000000                -0.5037207500139957      -0.7029241484224452
600000000                -0.5701482174170523      -0.6355028448622368
630000000                -0.6275847756586178      -0.5624972794382896
660000000                -0.6757202102602987      -0.48507533725986085
690000000                -0.7143791116391154      -0.4043873367440254
720000000                -0.7435175124547222      -0.32155411452797883
750000000                -0.7632108470181781      -0.23765252914565738
780000000                -0.7736421018723871      -0.15370957335225666
810000000                -0.7750965420122149      -0.07069504677244563
840000000                -0.7679532335170143      0.010491462494235616
870000000                -0.7526693041726205      0.08903108939728042
900000000                -0.7297624265877009      0.16418879900239608
930000000                -0.69979680493653        0.2353111043501883
960000000                -0.6633737533247026      0.3018225306302953
990000000                -0.6211250053763044      0.3632233915573925
1020000000               -0.5737065173889823      0.41908904908482614
1050000000               -0.5217917005350581      0.4690695856029004
1080000000               -0.46606416325832933     0.5128888965661457
1110000000               -0.4072105105633632      0.5503427980007275
1140000000               -0.34591369624105195     0.5812962312190363
1170000000               -0.28284717818888544     0.6056798707023102
1200000000               -0.21866989345603552     0.6234864500596288
1230000000               -0.15402193442434095     0.6347670216506622
1260000000               -0.08952077173602309     0.6396272504669201
1290000000               -0.025757893475212693    0.6382237608094947
1320000000               0.036704226310368425     0.6307605128325116
1350000000               0.09733487582168898      0.6174851738156995
1380000000               0.15563758565384359      0.5986854535660453
1410000000               0.21115233623248386      0.5746853866834143
1440000000               0.2634574793194279       0.545841561299111
1470000000               0.31217136217316616      0.5125393091011538
1500000000               0.3569536521203365       0.475188879949853
1530000000               0.3975063694436797       0.4342216240794587
1560000000               0.4335746419967899       0.39008619855476345
1590000000               0.4649471941279746       0.34324480782181566
1620000000               0.4914565780871101       0.2941694851195826
1650000000               0.512979152169862        0.24333842221824634
1680000000               0.529434808128373        0.1912323573932294
1710000000               0.5407864506323053       0.1383310336657997
1740000000               0.5470392325525911       0.08510974053105712
1770000000               0.5482395508627184       0.0320359529345949
1800000000               0.5444738088089046       -0.020433918401896352
1830000000               0.5358669508983608       -0.07185765090267922
1860000000               0.5225807782385429       -0.12181019356756079
1890000000               0.5048120530196764       -0.16988649500213768
1920000000               0.4827904022880592       -0.21570416111652868
1950000000               0.4567760326587198       -0.2589059278296541
1980000000               0.42705726910642067      -0.2991619346235069
2010000000               0.3939479324262816       -0.3361717855522659
2040000000               0.3577845713298066       -0.36966638526545575
2070000000               0.3189235663906212       -0.39940953873847884
2100000000               0.27773812421484506      -0.4251993046699174
2130000000               0.2346151811966017       -0.4468690939111093
2.16E9                   0.18995223713776888      -0.46428850576379316
2.19E9                   0.14415413977749622      -0.47736389658980505
2.22E9                   0.09762984193612977      -0.4860386768274107
2.25E9                   0.05078915349143003      -0.490293334314179
2.28E9                   0.004039510768421906     -0.4901451836456936
2.31E9                   -0.04221721389940232     -0.48564784324091104
2.34E9                   -0.0875878396458333      -0.47689044373680284
2.37E9                   -0.13169091902286764     -0.4639965733449447
2.4E9                    -0.1741596722143248      -0.44712296777900823
2.43E9                   -0.2146447918909111      -0.42645795433579503
2.46E9                   -0.25281709785351797     -0.40221966163909423
2.49E9                   -0.28837002154458524     -0.37465400842450997
2.52E9                   -0.3210219016704482      -0.34403248651425566
2.55E9                   -0.3505180734330005      -0.31064975484516055
2.58E9                   -0.3766327353848306      -0.27482106296688574
2.61E9                   -0.3991705794921904      -0.23687952388033368
2.64E9                   -0.41796817178219464     -0.19717325739090008
2.67E9                   -0.4328950728086916      -0.15606242628315592
2.7E9                    -0.4438546891715969      -0.11391618860646786
2.73E9                   -0.45078484942159164     -0.07110959012051836
2.76E9                   -0.45365809981826155     -0.028020421584018768
2.79E9                   -0.45248171765696493     0.014973934066310035
2.82E9                   -0.4472974421240693      0.05749963940368215
2.85E9                   -0.43818092491913196     0.09918949981509509
2.88E9                   -0.4252409051758343      0.13968599542850563
2.91E9                   -0.4086181154572153      0.17864422309356562
2.94E9                   -0.38848392783768254     0.21573472449597225
2.97E9                   -0.3650387512298949      0.2506461773436456
3.0E9                    -0.3385101932072937      0.2830879276151776
3.03E9                   -0.3091510015509144      0.3127923421096516
3.06E9                   -0.27723680260996275     0.3395169619632796
3.09E9                   -0.24306365530852636     0.36304643940388015
3.12E9                   -0.20694544119825845     0.3831942417799673
3.15E9                   -0.16921111238530637     0.39980410879065664
3.18E9                   -0.13020182038695208     0.4127512509020179
3.21E9                   -0.09026795002708372     0.4219432790568508
3.24E9                   -0.04976608332081298     0.42732085805111764
3.27E9                   -0.009055918935494489    0.42885807824443234
3.3E9                    0.03150282676701704      0.4265625426574257
3.33E9                   0.07155351090068951      0.4204751689114889
3.36E9                   0.11074562126687298      0.4106697078793342
3.39E9                   0.1487377736764211       0.3972519833338355
3.42E9                   0.18520062394164383      0.3803588592621152
3.45E9                   0.21981966978197073      0.3601569438448196
3.48E9                   0.2522979188096967       0.3368410413593775
3.51E9                   0.282358399876499        0.3106323654457779
3.54E9                   0.3097464963936233       0.2817765292230429
